dataset,scheme,epsilon,attack_type,direction,malicious_ratio,lambda,true_triangle_count,avg_estimated_triangle_count,relative_signed_error,mre,finished,log_file
Gplus,CaliToLS,0.5,clean,none,0,0,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_clean.log
Gplus,CaliToLS,0.5,count,decrease,0.03,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_decrease_mr0.03_lambda1.log
Gplus,CaliToLS,0.5,count,decrease,0.05,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_decrease_mr0.05_lambda1.log
Gplus,CaliToLS,0.5,count,decrease,0.08,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_decrease_mr0.08_lambda1.log
Gplus,CaliToLS,0.5,count,decrease,0.10,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_decrease_mr0.10_lambda1.log
Gplus,CaliToLS,0.5,count,decrease,0.13,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_decrease_mr0.13_lambda1.log
Gplus,CaliToLS,0.5,count,decrease,0.15,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_decrease_mr0.15_lambda1.log
Gplus,CaliToLS,0.5,count,decrease,0.18,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_decrease_mr0.18_lambda1.log
Gplus,CaliToLS,0.5,count,decrease,0.20,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_decrease_mr0.20_lambda1.log
Gplus,CaliToLS,0.5,count,increase,0.03,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_increase_mr0.03_lambda1.log
Gplus,CaliToLS,0.5,count,increase,0.05,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_increase_mr0.05_lambda1.log
Gplus,CaliToLS,0.5,count,increase,0.08,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_increase_mr0.08_lambda1.log
Gplus,CaliToLS,0.5,count,increase,0.10,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_increase_mr0.10_lambda1.log
Gplus,CaliToLS,0.5,count,increase,0.13,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_increase_mr0.13_lambda1.log
Gplus,CaliToLS,0.5,count,increase,0.15,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_increase_mr0.15_lambda1.log
Gplus,CaliToLS,0.5,count,increase,0.18,1,,,,0.000000,1,results_laplace_all_attacks/Gplus_CaliToLS_eps0.5_count_increase_mr0.18_lambda1.log
