schema_id,file_count,total_rows,column_count,columns
schema_01,2,3870,29,run|attack|n|eps|eps1|eps2|delta|h_prime|h|mal_ratio|mal_count|orig_poison_prob|lap_strength|edges_clean|edges_protocol|changed_edges|clean_triangles|protocol_triangles|lambda|max_d_tail|max_c_dagger|estimate|rel_clean|rel_protocol|changed_reports|bias_sum|phase2_noise_sum|time_sec|seed
schema_02,6,90,32,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|candidate_multiplier|min_weight|normalize_weights|seconds|seed
schema_03,2,30,29,run|protocol|attack|epsilon|malicious_ratio|malicious_count|selector|poison_prob|attack_strength|clean_edges|protocol_edges|changed_edges|changed_reports|clean_triangles|protocol_triangles|attack_estimate|defense_estimate|rel_attack_clean|rel_defense_clean|defense_reduction|detected_users|mean_weight|mean_mal_weight|mean_honest_weight|gamma|tau|smooth|seconds|seed
schema_04,2,12,5,experiment|status|start_time|end_time|log_file
schema_05,28,420,43,edge_file|n_header|n_used|attack_type|malicious_ratio|poison_prob|malicious_nodes|added_edges|removed_edges|clean_m_used|poisoned_m_used|clean_exact_triangles|poisoned_exact_triangles|load_seconds|clean_exact_seconds|poisoned_exact_seconds|epsilon|psi|workers|runs|run|noise|seed|split_factor|bias_factor|dmax_slack_multiplier|estimate|abs_error_vs_clean|relative_error_vs_clean|abs_error_vs_poisoned|relative_error_vs_poisoned|max_noisy_out_degree_before_slack|dmax_slack|max_noisy_out_degree|kcore_rounds_cap|kcore_rounds_run|kcore_max_threshold|levels_per_group|kcore_seconds|rr_seconds|maxout_seconds|count_seconds|total_seconds
schema_06,36,1620,40,edge_file|n_header|n_used|m_used|exact_triangles|load_seconds|exact_seconds|epsilon|psi|workers|runs|run|noise|seed|laplace_attack_direction|laplace_attack_mode|malicious_ratio|poison_prob|malicious_selector|attack_value|malicious_nodes|laplace_attack_candidates|laplace_attack_reports|laplace_noise_scale|laplace_total_offset|laplace_abs_total_offset|malicious_local_pre_laplace_sum|estimate|abs_error|relative_error|max_noisy_out_degree|kcore_rounds_cap|kcore_rounds_run|kcore_max_threshold|levels_per_group|kcore_seconds|rr_seconds|maxout_seconds|count_seconds|total_seconds
schema_07,6,510,37,edge_file|n_header|n_used|m_used|exact_triangles|load_seconds|exact_seconds|epsilon|psi|workers|runs|run|noise|seed|rr_attack_direction|malicious_ratio|poison_prob|malicious_selector|malicious_nodes|rr_attack_candidates|rr_attack_reports|rr_attack_set_to_one|rr_attack_set_to_zero|count_laplace_noise_scale|estimate|abs_error|relative_error|max_noisy_out_degree|kcore_rounds_cap|kcore_rounds_run|kcore_max_threshold|levels_per_group|kcore_seconds|rr_seconds|maxout_seconds|count_seconds|total_seconds
schema_08,2,1000,29,dataset|node_num|eps|eps_edge|eps_star|budget_mode|q|m|run|seed|attack_type|malicious_ratio|malicious_count|attack_strength|edge_count_before_attack|edge_count_after_attack|dmax_after_attack|added_edges|removed_edges|rr_forced_reports|selected_pair_count|clean_triangles|true_triangles_after_attack|estimate_triangle|raw_counted_three_times|rel_error_clean|signed_rel_clean|rel_error_attack_true|time_sec
schema_09,156,2340,24,#tri(true)|#tri(est)|#tri(rel-err)|#tri(l2-loss)|#2st(true)|#2st(est)|#2st(rel-err)|#2st(l2-loss)|#3st(true)|#3st(est)|#3st(rel-err)|#3st(l2-loss)|clst(true)|clst(est)|clst(rel-err)|clst(l2-loss)|sen_tri|sen_2st|sen_3st|eclip_sum|tclip_sum|#eclip|#tclip|max_deg
schema_10,2,882,13,dataset|scheme|epsilon|attack_type|direction|malicious_ratio|lambda|true_triangle_count|avg_estimated_triangle_count|relative_signed_error|mre|finished|log_file
schema_11,255,6120,14,#tri(true)|#tri(est)|#tri(rel-err)|#tri(l2-loss)|#2st(true)|#2st(est)|#2st(rel-err)|#2st(l2-loss)|clst(true)|clst(est)|clst(rel-err)|clst(l2-loss)|EpsL|max_deg
schema_12,6,132,6,#4cyc(true)|#4cyc(est)|#4cyc(rel-err)|#4cyc(l2-loss)|EpsL|max_deg
schema_13,2,2430,25,run|attack|epsilon|eps0|eps1|eps2|alpha|malicious_ratio|malicious_count|poison_prob|fixed_offset|scale_k|local_k|clean_edges|protocol_edges|clean_triangles|protocol_triangles|estimate|rel_error_clean|rel_error_protocol|orig_edge_changes|rr_changes|lap_attacked_reports|lap_total_offset|seconds
