source_file,schema_id,study,dataset_inferred,attack_family_inferred,attack_direction_inferred,rows,columns,epsilon_values,malicious_ratio_values,attack_values,mean_relative_error,std_relative_error,mean_signed_error,mean_estimate,mean_true_triangles,sha256
data/raw_results/ddp/gplus_n10000_ddp_phase2_robust.csv,schema_01,ddp,Gplus,clean,clean,1935,29,0.5;1;2,0.0;0.05;0.1;0.15;0.2,lap_count_decrease;lap_count_increase;lap_fixed_decrease;lap_fixed_increase;lap_scale_decrease;lap_scale_increase;none;orig_decrease;orig_increase,0.8617208342519876,4.219977578595523,,58205689.76965359,32950647.0,4ca4b0d87a72e1593e57faad09d836652246cac90791171a8cc4bda69a3a78fd
data/raw_results/ddp/imdb_n10000_ddp_phase2_robust.csv,schema_01,ddp,IMDB,clean,clean,1935,29,0.5;1;2,0.0;0.05;0.1;0.15;0.2,lap_count_decrease;lap_count_increase;lap_fixed_decrease;lap_fixed_increase;lap_scale_decrease;lap_scale_increase;none;orig_decrease;orig_increase,3317.047036239891,17659.892595509285,,25007749.696142368,7790.0,2cf1c2b73a5c8e52e6428cacafe1a73275cba933125193b0e74222197c284383
data/raw_results/defense/gplus_ddp_lap_local_inc_defense.csv,schema_02,defense,Gplus,defense,increase,15,32,1.0000000000,0.0;0.025;0.05;0.075;0.1,lap_local_inc,0.00473884216,0.003495356030429533,,33106748.11487105,32950647.0,05a712c8c6b01518d431081eec9d6ff4e13bc64b2e5df50f77d8f3463872d752
data/raw_results/defense/gplus_ddp_lap_scale_inc_defense.csv,schema_03,defense,Gplus,defense,increase,15,29,1.0000000000,0.0;0.025;0.05;0.075;0.1,lap_scale_inc,1.497958e-05,1.0533571472351763e-05,,32951088.854871046,32950647.0,4f628cbcf12852359e9998c1bb208c5371ab4ab657012cbf52cb627dbc50144b
data/raw_results/defense/gplus_edgeorient_rr_inc_defense.csv,schema_02,defense,Gplus,defense,increase,15,32,1.0000000000,0.0;0.025;0.05;0.075;0.1,rr_inc,0.0072722652333333335,0.007569532277057659,,33190254.12435551,32950647.0,df966b6fc61be8fd53cbed13da8ced18dfe5162d869099940e43edf11bfab81b
data/raw_results/defense/gplus_genshuffledp_rr_inc_defense.csv,schema_02,defense,Gplus,defense,increase,15,32,1.0000000000,0.0;0.025;0.05;0.075;0.1,rr_inc,0.007272173426666667,0.0075693841147178,,33190238.61898779,32950647.0,b3b36b2b13b67182e139a0af8f30bf5615ed5e0cac4e3140d57fe557b9b23260
data/raw_results/defense/gplus_ldp2022_arronens_orig_inc_defense.csv,schema_02,defense,Gplus,defense,increase,15,32,1.0000000000,0.0;0.025;0.05;0.075;0.1,orig_inc,1.6110175877800001,1.9960344704630242,,86034703.2453726,32950647.0,52ff80549b8b7789e8dbac5a0d6c9976573a7b1931d39b7f131602bfe185e245
data/raw_results/defense/gplus_privet_lap_local_inc_defense.csv,schema_02,defense,Gplus,defense,increase,15,32,1.0000000000,0.0;0.025;0.05;0.075;0.1,lap_local_inc,0.00473895692,0.003495812266191194,,33106767.496580593,32950647.0,cc87cca1a867e4db068f5dff7fcbf39434249be875aa397920d09f78f434ede7
data/raw_results/defense/gplus_privet_lap_scale_inc_defense.csv,schema_03,defense,Gplus,defense,increase,15,29,1.0000000000,0.0;0.025;0.05;0.075;0.1,lap_scale_inc,9.9864e-06,7.022378102385056e-06,,32950941.569913905,32950647.0,271d034070d544e099f912a9bc352d69e957e12ac961a462f1c7b0c32061fece
data/raw_results/defense/gplus_tdpvc_rr_inc_defense.csv,schema_02,defense,Gplus,defense,increase,15,32,1.0000000000,0.0;0.025;0.05;0.075;0.1,rr_inc,0.007272230793333333,0.007569476670098056,,33190248.309842646,32950647.0,e500f3c9f2779061517a17ec95df7541398c72e2b76eb84f0f7908f0b1bf4750
data/raw_results/defense/logs_all_defense_gplus_n10000_r3_20260611_031107/run_status.csv,schema_04,defense,Gplus,defense,increase,6,5,,,,,,,,,6f02afa8ef2fae749b6b49068aa875febe6d93e49bf781d1c68e14102d97cf73
data/raw_results/defense/logs_all_defense_gplus_n10000_r3_20260611_101904/run_status.csv,schema_04,defense,Gplus,defense,increase,6,5,,,,,,,,,d1064b08d61849d1636eae6d6b77e2d1a0dac83fb638a3223252c6042e14b068
data/raw_results/edge_orient_vldb/gplus/13pct_1edgeorientdelta_original_decrease_results.csv,schema_05,edge_orient_vldb,Gplus,original_data,decrease,15,43,0.50000000;1.00000000;2.00000000,0.13,original_decrease,0.052404681333333335,0.03012685746057965,,31233495.123738147,32950647.0,028145009436211197bea4cd4080dba3d2866fe78eeca33874ec1ea660a15396
data/raw_results/edge_orient_vldb/gplus/13pct_1edgeorientdelta_original_increase_results.csv,schema_05,edge_orient_vldb,Gplus,original_data,increase,15,43,0.50000000;1.00000000;2.00000000,0.13,original_increase,11.210386934,0.10694731474386551,,402340149.5982937,32950647.0,4679a97e91e10d9594a141c274ca9e17192ec37466e8585819398b2dda034d52
