run,attack,n,eps,eps1,eps2,delta,h_prime,h,mal_ratio,mal_count,orig_poison_prob,lap_strength,edges_clean,edges_protocol,changed_edges,clean_triangles,protocol_triangles,lambda,max_d_tail,max_c_dagger,estimate,rel_clean,rel_protocol,changed_reports,bias_sum,phase2_noise_sum,time_sec,seed
0,none,10000,0.5,0.05,0.45,1e-06,100,3,0,0,0,0,879102,879102,0,32950647,32950647,26083.3552413406,2663.28628881644,3912.50328620109,32020071.7074608,0.0282414877176531,0.0282414877176531,0,0,-2791725.87761742,3.357513654,20260619
1,none,10000,0.5,0.05,0.45,1e-06,100,3,0,0,0,0,879102,879102,0,32950647,32950647,25751.2876369702,2663.65656956992,3862.69314554553,31249389.7902792,0.0516304644858972,0.0516304644858972,0,0,-5103771.62916256,3.457582256,20365348
2,none,10000,0.5,0.05,0.45,1e-06,100,3,0,0,0,0,879102,879102,0,32950647,32950647,24943.0585679439,2688.10336253968,3741.45878519159,32775909.4972032,0.00530300672993615,0.00530300672993615,0,0,-524212.508390499,3.783715862,20470077
3,none,10000,0.5,0.05,0.45,1e-06,100,3,0,0,0,0,879102,879102,0,32950647,32950647,24979.1366342952,2664.48335062126,3746.87049514428,31692233.8057709,0.038190849309548,0.038190849309548,0,0,-3775239.58268717,3.765767062,20574806
4,none,10000,0.5,0.05,0.45,1e-06,100,3,0,0,0,0,879102,879102,0,32950647,32950647,25693.2489891533,2685.39767811875,3853.98734837299,31563357.2061596,0.0421020501916218,0.0421020501916218,0,0,-4161869.38152185,3.330931854,20679535
0,none,10000,1,0.1,0.9,1e-06,100,4,0,0,0,0,879102,879102,0,32950647,32950647,10497.3772627709,1922.92755000047,3149.21317883128,32594116.9211666,0.0108201237697515,0.0108201237697515,0,0,-1069590.23650011,3.285624354,20260619
1,none,10000,1,0.1,0.9,1e-06,100,4,0,0,0,0,879102,879102,0,32950647,32950647,10331.1552425759,1924.70179456649,3099.34657277277,32259571.3200546,0.0209730534257904,0.0209730534257904,0,0,-2073227.03983592,3.391276556,20365348
2,none,10000,1,0.1,0.9,1e-06,100,4,0,0,0,0,879102,879102,0,32950647,32950647,10127.1085305997,1930.7530971955,3038.13255917992,32885440.9805625,0.00197889951713317,0.00197889951713317,0,0,-195618.058312483,3.487963957,20470077
3,none,10000,1,0.1,0.9,1e-06,100,4,0,0,0,0,879102,879102,0,32950647,32950647,10204.8400622958,1920.32129464126,3061.45201868873,32435612.3916122,0.0156304854465472,0.0156304854465472,0,0,-1545103.82516334,3.414989356,20574806
4,none,10000,1,0.1,0.9,1e-06,100,4,0,0,0,0,879102,879102,0,32950647,32950647,10316.6455806217,1936.8753680804,3094.9936741865,32393456.7835457,0.0169098414502843,0.0169098414502843,0,0,-1671570.64936311,3.480822357,20679535
0,none,10000,2,0.2,1.8,1e-06,100,7,0,0,0,0,879102,879102,0,32950647,32950647,4571.0109823594,1547.11766785329,2742.60658941564,32793115.9992788,0.00478081661708194,0.00478081661708194,0,0,-472593.002163717,3.395869056,20260619
1,none,10000,2,0.2,1.8,1e-06,100,7,0,0,0,0,879102,879102,0,32950647,32950647,4529.45547731064,1549.7373136882,2717.67328638638,32656455.5413386,0.00892824528336115,0.00892824528336115,0,0,-882574.375984464,3.329417155,20365348
2,none,10000,2,0.2,1.8,1e-06,100,7,0,0,0,0,879102,879102,0,32950647,32950647,4478.4437993166,1566.78186409908,2687.06627958996,32927832.9701238,0.00069236970904312,0.00069236970904312,0,0,-68442.0896285174,3.257708453,20470077
3,none,10000,2,0.2,1.8,1e-06,100,7,0,0,0,0,879102,879102,0,32950647,32950647,4497.87668224061,1557.03844376884,2698.72600934436,32729493.9642272,0.00671164471437441,0.00671164471437441,0,0,-663459.107318107,3.438846757,20574806
4,none,10000,2,0.2,1.8,1e-06,100,7,0,0,0,0,879102,879102,0,32950647,32950647,4525.82806182208,1555.9376840402,2715.49683709325,32707533.4700343,0.00737811096594605,0.00737811096594605,0,0,-729340.589897699,3.409729155,20679535
0,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,909995,30893,32950647,33525686,25853.944813397,2674.08779265383,3878.09172200955,31999990.7466771,0.0288509131041624,0.0455082486104215,0,0,-4577085.75996899,3.62072976,20260619
1,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,910012,30910,32950647,33533549,25651.8877544664,2682.11802362893,3847.78316316995,34599053.8757228,0.0500265404719606,0.0317742949224607,0,0,3196514.62716796,3.70519656,20365348
2,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,909581,30479,32950647,33506751,25377.9929940056,2660.35411360504,3806.69894910084,30300663.4320592,0.0804228083272778,0.0956848238714876,0,0,-9618262.70382205,3.66363366,20470077
3,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,909741,30639,32950647,33540775,25421.3783578637,2689.04277713044,3813.20675367956,32412182.52021,0.0163415449714839,0.0336483721616448,0,0,-3385777.43937033,3.505684457,20574806
4,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,909636,30534,32950647,33598741,25966.3660814105,2668.6472114005,3894.95491221157,35305207.7944499,0.0714571945871009,0.0507896053143739,0,0,5119400.38334934,3.69198706,20679535
0,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,878618,484,32950647,32900453,25441.9086000131,2672.08077654143,3816.28629000197,32454322.4963477,0.0150626633720527,0.0135600109716525,0,0,-1338391.51095733,3.537915458,20260619
1,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,878590,512,32950647,32892764,25922.9736580797,2685.08833782011,3888.44604871196,30851448.7224435,0.0637073462489681,0.0620597064313757,0,0,-6123945.83266988,3.568009658,20365348
2,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,878599,503,32950647,32894030,25536.4725765006,2693.21432014909,3830.4708864751,32859386.8102391,0.00276960236200862,0.00105317559936901,0,0,-103929.569282291,3.514736857,20470077
3,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,878578,524,32950647,32886830,26151.6514284295,2659.84353164313,3922.74771426442,32902625.0697738,0.0014573895992454,0.000480285566404339,0,0,47385.2093213748,3.501888957,20574806
4,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.25,0,879102,878419,683,32950647,32867554,25539.8404285394,2668.35709243392,3830.97606428091,31518088.3170688,0.0434758893484298,0.0410576851240944,0,0,-4048397.04879404,3.397809156,20679535
0,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.5,0,879102,940613,61511,32950647,36082876,25853.944813397,2689.51940876642,3878.09172200955,34557180.746677,0.0487557572595469,0.04228308334743,0,0,-4577085.75996899,3.870964863,20260619
1,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.5,0,879102,940842,61740,32950647,36127723,25651.8877544664,2684.15045228311,3847.78316316995,37193227.8757228,0.128755616717413,0.0294927215790153,0,0,3196514.62716796,3.766105461,20365348
2,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.5,0,879102,940465,61363,32950647,36044986,25517.976006325,2681.30989237989,3827.69640094875,32821213.9053268,0.00392808962668189,0.0894374628047617,0,0,-9671316.28401958,3.831510662,20470077
3,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.5,0,879102,940329,61227,32950647,36084783,25421.3783578637,2694.88000379001,3813.20675367956,34956190.5202101,0.0608650725495637,0.0312761332052332,0,0,-3385777.43937033,3.792203262,20574806
4,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.5,0,879102,939885,60783,32950647,36191443,25966.3660814105,2678.67171482373,3894.95491221157,37897909.7944499,0.150141597961638,0.0471511123347543,0,0,5119400.38334934,3.810720262,20679535
0,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.5,0,879102,878088,1014,32950647,32846258,25441.9086000131,2672.08077654143,3816.28629000197,32400127.4963477,0.016707395871539,0.0135823844424634,0,0,-1338391.51095733,3.545577258,20260619
1,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.5,0,879102,878029,1073,32950647,32827447,25922.9736580797,2685.08833782011,3888.44604871196,30786131.7224435,0.0656896138505725,0.0621831870616233,0,0,-6123945.83266988,3.478679057,20365348
2,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,0.5,0,879102,878084,1018,32950647,32837347,25536.4725765006,2690.51755195779,3830.4708864751,32802703.8102391,0.00448984172483543,0.0010549935645204,0,0,-103929.569282291,3.607055359,20470077
