run,attack,n,eps,eps1,eps2,delta,h_prime,h,mal_ratio,mal_count,orig_poison_prob,lap_strength,edges_clean,edges_protocol,changed_edges,clean_triangles,protocol_triangles,lambda,max_d_tail,max_c_dagger,estimate,rel_clean,rel_protocol,changed_reports,bias_sum,phase2_noise_sum,time_sec,seed
0,none,10000,0.5,0.05,0.45,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,11994.2118209498,1799.13177314247,1515.01922487635,-410363.560671919,53.6782491234813,53.6782491234813,0,0,-1254460.68201576,0.0082365,20260619
1,none,10000,0.5,0.05,0.45,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,11875.7737825719,1781.36606738579,1765.9844938843,-779999.635531979,101.128322918097,101.128322918097,0,0,-2363368.90659594,0.0117412,20365348
2,none,10000,0.5,0.05,0.45,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,11861.2651865741,1779.18977798611,1520.3604913903,-88765.2672247865,12.3947711456722,12.3947711456722,0,0,-289665.801674359,0.008454601,20470077
3,none,10000,0.5,0.05,0.45,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,11904.4585929591,1785.66878894386,1585.14422353682,-593529.090740296,77.1911541386772,77.1911541386772,0,0,-1803957.27222088,0.0082227,20574806
4,none,10000,0.5,0.05,0.45,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,11922.3861499238,1788.35792248857,1524.19821684096,-635201.433853917,82.5406205204001,82.5406205204001,0,0,-1928974.30156175,0.0075216,20679535
0,none,10000,1,0.1,0.9,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,3000.21962190411,900.065886571234,757.509612438177,-96806.4950782092,13.427021191041,13.427021191041,0,0,-313789.485234628,0.0082128,20260619
1,none,10000,1,0.1,0.9,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,2970.38834355701,891.116503067104,882.992246942148,-189253.257424902,25.2943847785497,25.2943847785497,0,0,-591129.772274707,0.0088058,20365348
2,none,10000,1,0.1,0.9,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,2969.08659936699,890.725979810098,760.680245695149,-16379.508522574,3.10263267298768,3.10263267298768,0,0,-72508.5255677229,0.0066847,20470077
3,none,10000,1,0.1,0.9,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,2976.11464823977,892.834394471932,792.572111768409,-142539.772685074,19.2977885346693,19.2977885346693,0,0,-450989.318055221,0.0085237,20574806
4,none,10000,1,0.1,0.9,1e-06,100,2,0,0,0,0,7569,7569,0,7790,7790,2983.7204245251,895.11612735753,762.099108420481,-153126.334185072,20.6567823087384,20.6567823087384,0,0,-482749.002555216,0.0075811,20679535
