run,protocol,attack,epsilon,malicious_ratio,malicious_count,selector,poison_prob,attack_strength,clean_edges,protocol_edges,changed_edges,changed_reports,clean_triangles,protocol_triangles,attack_estimate,defense_estimate,rel_attack_clean,rel_defense_clean,defense_reduction,detected_users,mean_weight,mean_mal_weight,mean_honest_weight,gamma,tau,smooth,candidate_multiplier,min_weight,normalize_weights,seconds,seed
0,DDP,lap_local_inc,1.0000000000,0.0000000000,0,random,1.0000000000,0.1000000000,879102,879102,0,0,32950647,32950647,32950823.5670040399,32950823.5670040399,0.0000053585,0.0000053585,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8150357130,1776
1,DDP,lap_local_inc,1.0000000000,0.0000000000,0,random,1.0000000000,0.1000000000,879102,879102,0,0,32950647,32950647,32950360.0095075853,32950360.0095075853,0.0000087097,0.0000087097,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8833217990,1001779
2,DDP,lap_local_inc,1.0000000000,0.0000000000,0,random,1.0000000000,0.1000000000,879102,879102,0,0,32950647,32950647,32950582.9881015159,32950582.9881015159,0.0000019427,0.0000019427,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8323697760,2001782
0,DDP,lap_local_inc,1.0000000000,0.0250000000,250,random,1.0000000000,0.1000000000,879102,879102,0,250,32950647,32950647,33046713.7003373951,31959806.0054496191,0.0029154724,0.0300704564,-0.0271549841,268,0.9790050276,0.3273022149,0.9957153561,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9065380070,1776
1,DDP,lap_local_inc,1.0000000000,0.0250000000,250,random,1.0000000000,0.1000000000,879102,879102,0,250,32950647,32950647,33009344.9761742763,32337631.8616029657,0.0017813907,0.0186040395,-0.0168226488,248,0.9804308582,0.3488834789,0.9966243808,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8930278280,1001779
2,DDP,lap_local_inc,1.0000000000,0.0250000000,250,random,1.0000000000,0.1000000000,879102,879102,0,250,32950647,32950647,33030232.8547681607,32128132.3909364231,0.0024153048,0.0249620170,-0.0225467122,269,0.9788110895,0.2992546305,0.9962356141,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8580552550,2001782
0,DDP,lap_local_inc,1.0000000000,0.0500000000,500,random,1.0000000000,0.1000000000,879102,879102,0,500,32950647,32950647,33118965.1336707473,31332194.8336198628,0.0051081890,0.0491174624,-0.0440092734,447,0.9626139637,0.3225108748,0.9963035999,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.7886059700,1776
1,DDP,lap_local_inc,1.0000000000,0.0500000000,500,random,1.0000000000,0.1000000000,879102,879102,0,500,32950647,32950647,33088741.3095076196,31646166.9983495809,0.0041909438,0.0395889040,-0.0353979602,426,0.9644276583,0.3414298765,0.9972170152,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.7871569310,1001779
2,DDP,lap_local_inc,1.0000000000,0.0500000000,500,random,1.0000000000,0.1000000000,879102,879102,0,500,32950647,32950647,33111128.3547681421,31432434.4333804660,0.0048703552,0.0460753492,-0.0412049940,450,0.9623727117,0.3078240375,0.9968226419,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.7506029050,2001782
0,DDP,lap_local_inc,1.0000000000,0.0750000000,750,random,1.0000000000,0.1000000000,879102,879102,0,750,32950647,32950647,33204010.4336707592,30592036.8305782564,0.0076891793,0.0715800867,-0.0638909074,624,0.9465788099,0.3265036297,0.9968551759,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8701210290,1776
1,DDP,lap_local_inc,1.0000000000,0.0750000000,750,random,1.0000000000,0.1000000000,879102,879102,0,750,32950647,32950647,33170602.2095076256,30927490.3373877406,0.0066752926,0.0613996036,-0.0547243110,615,0.9475178930,0.3288991908,0.9976761662,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8413787110,1001779
2,DDP,lap_local_inc,1.0000000000,0.0750000000,750,random,1.0000000000,0.1000000000,879102,879102,0,750,32950647,32950647,33184991.0881014802,30791151.2698273808,0.0071119723,0.0655372785,-0.0584253062,621,0.9469356031,0.3237788202,0.9974618287,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.7647424240,2001782
0,DDP,lap_local_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,0.1000000000,879102,879102,0,1000,32950647,32950647,33287651.7670040876,29867749.6576879807,0.0102275614,0.0935610564,-0.0833334949,802,0.9305777581,0.3298427922,0.9973260876,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9211392910,1776
1,DDP,lap_local_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,0.1000000000,879102,879102,0,1000,32950647,32950647,33229284.6761742420,30418534.9246618450,0.0084562126,0.0768455950,-0.0683893824,791,0.9315916733,0.3320649376,0.9982057550,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8430251410,1001779
2,DDP,lap_local_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,0.1000000000,879102,879102,0,1000,32950647,32950647,33267788.6547681242,30072439.0013900064,0.0096247474,0.0873490587,-0.0777243113,808,0.9307307167,0.3258565096,0.9979389619,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8543193750,2001782
