run,protocol,attack,epsilon,malicious_ratio,malicious_count,selector,poison_prob,attack_strength,clean_edges,protocol_edges,changed_edges,changed_reports,clean_triangles,protocol_triangles,attack_estimate,defense_estimate,rel_attack_clean,rel_defense_clean,defense_reduction,detected_users,mean_weight,mean_mal_weight,mean_honest_weight,gamma,tau,smooth,seconds,seed
0,DDP,lap_scale_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950823.5670040399,33676518.0825571865,0.0000053585,0.0220290388,-0.0220236803,339,0.9780961192,0.0000000000,0.9780961192,0.7500000000,2.5000000000,0.3000000000,6.0205013080,1776
1,DDP,lap_scale_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950360.0095075853,33663361.7430340052,0.0000087097,0.0216297648,-0.0216210550,339,0.9784820285,0.0000000000,0.9784820285,0.7500000000,2.5000000000,0.3000000000,6.0144569040,1001779
2,DDP,lap_scale_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950582.9881015159,33666214.7264947444,0.0000019427,0.0217163483,-0.0217144056,330,0.9784064403,0.0000000000,0.9784064403,0.7500000000,2.5000000000,0.3000000000,6.6795185120,2001782
0,DDP,lap_scale_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,250,32950647,32950647,32951073.5670040399,33678780.8383183181,0.0000129456,0.0220977099,-0.0220847643,338,0.9780343189,0.9724894492,0.9781764950,0.7500000000,2.5000000000,0.3000000000,6.2543227090,1776
1,DDP,lap_scale_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,250,32950647,32950647,32950610.0095075853,33673755.3769303337,0.0000011226,0.0219451951,-0.0219440725,344,0.9781804907,0.9558740743,0.9787524500,0.7500000000,2.5000000000,0.3000000000,6.1785531010,1001779
2,DDP,lap_scale_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,250,32950647,32950647,32950832.9881015159,33681752.9793058857,0.0000056444,0.0221879097,-0.0221822652,337,0.9779585539,0.9558539483,0.9785253386,0.7500000000,2.5000000000,0.3000000000,6.0970981570,2001782
0,DDP,lap_scale_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,500,32950647,32950647,32951323.5670040399,33692454.3414815292,0.0000205327,0.0225126791,-0.0224921463,344,0.9776402211,0.9700447204,0.9780399843,0.7500000000,2.5000000000,0.3000000000,6.3114249530,1776
1,DDP,lap_scale_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,500,32950647,32950647,32950860.0095075853,33688805.0710070059,0.0000064645,0.0224019295,-0.0223954650,351,0.9777440552,0.9644664293,0.9784428776,0.7500000000,2.5000000000,0.3000000000,5.9175776030,1001779
2,DDP,lap_scale_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,500,32950647,32950647,32951082.9881015159,33688279.9052818641,0.0000132315,0.0223859915,-0.0223727600,338,0.9777726454,0.9651966810,0.9784345383,0.7500000000,2.5000000000,0.3000000000,6.0565043300,2001782
0,DDP,lap_scale_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,750,32950647,32950647,32951573.5670040399,33690871.6529362947,0.0000281198,0.0224646470,-0.0224365271,345,0.9776864429,0.9710683408,0.9782230458,0.7500000000,2.5000000000,0.3000000000,6.3648304900,1776
1,DDP,lap_scale_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,750,32950647,32950647,32951110.0095075853,33692815.3337737024,0.0000140516,0.0225236346,-0.0225095830,354,0.9776357926,0.9668546023,0.9785099432,0.7500000000,2.5000000000,0.3000000000,6.3314134780,1001779
2,DDP,lap_scale_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,750,32950647,32950647,32951332.9881015159,33702268.8407235518,0.0000208187,0.0228105336,-0.0227897150,342,0.9773691974,0.9639251524,0.9784592551,0.7500000000,2.5000000000,0.3000000000,6.3767072800,2001782
0,DDP,lap_scale_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,1000,32950647,32950647,32951823.5670040399,33704098.0022577420,0.0000357069,0.0228660458,-0.0228303388,352,0.9773059567,0.9678605748,0.9783554435,0.7500000000,2.5000000000,0.3000000000,6.2418508300,1776
1,DDP,lap_scale_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,1000,32950647,32950647,32951360.0095075853,33702975.1807310507,0.0000216387,0.0228319699,-0.0228103312,355,0.9773454201,0.9666118316,0.9785380411,0.7500000000,2.5000000000,0.3000000000,6.4652081790,1001779
2,DDP,lap_scale_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,1000,32950647,32950647,32951582.9881015159,33716354.2385526374,0.0000284058,0.0232380031,-0.0232095974,348,0.9769581779,0.9639215795,0.9784066888,0.7500000000,2.5000000000,0.3000000000,6.4264976590,2001782
