run,protocol,attack,epsilon,malicious_ratio,malicious_count,selector,poison_prob,attack_strength,clean_edges,protocol_edges,changed_edges,changed_reports,clean_triangles,protocol_triangles,attack_estimate,defense_estimate,rel_attack_clean,rel_defense_clean,defense_reduction,detected_users,mean_weight,mean_mal_weight,mean_honest_weight,gamma,tau,smooth,candidate_multiplier,min_weight,normalize_weights,seconds,seed
0,EdgeOrient,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950717.6268014424,32950717.6268014424,0.0000021434,0.0000021434,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.4824945660,1776
1,EdgeOrient,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950532.2038030513,32950532.2038030513,0.0000034839,0.0000034839,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.5823056700,1001779
2,EdgeOrient,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950621.3952405639,32950621.3952405639,0.0000007771,0.0000007771,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9947670020,2001782
0,EdgeOrient,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,78620,32950647,32950647,33007427.6325974017,22512875.9398529716,0.0017232024,0.3167698364,-0.3150466341,375,0.9662500000,0.9676000000,0.9662153846,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.2975373630,1776
1,EdgeOrient,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,26868,32950647,32950647,32969912.5705764145,23324902.9310858548,0.0005846796,0.2921261021,-0.2915414225,375,0.9662500000,0.9892000000,0.9656615385,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.6809547070,1001779
2,EdgeOrient,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,55448,32950647,32950647,32990617.0248688906,23187929.4686014540,0.0012130270,0.2962830299,-0.2950700029,375,0.9662500000,0.9856000000,0.9657538462,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9021643280,2001782
0,EdgeOrient,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,255260,32950647,32950647,33134841.2095985860,17354469.4517677762,0.0055900028,0.4733193114,-0.4677293086,750,0.9325000000,0.9316000000,0.9325473684,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.3631781270,1776
1,EdgeOrient,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,171227,32950647,32950647,33074041.2875277400,17536347.9842917025,0.0037448214,0.4677995857,-0.4640547643,750,0.9325000000,0.9514000000,0.9315052632,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9131704290,1001779
2,EdgeOrient,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,233723,32950647,32950647,33119209.9564802162,17255856.0669410340,0.0051156190,0.4763120716,-0.4711964526,750,0.9325000000,0.9334000000,0.9324526316,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1591629170,2001782
0,EdgeOrient,rr_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,583338,32950647,32950647,33371489.7122894228,14199329.3397754356,0.0127719104,0.5690728216,-0.5563009111,1125,0.8987500000,0.9004000000,0.8986162162,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.3882964430,1776
1,EdgeOrient,rr_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,433233,32950647,32950647,33263030.8802345097,13819115.5363733396,0.0094803565,0.5806117089,-0.5711313524,1125,0.8987500000,0.9112000000,0.8977405405,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9492569620,1001779
2,EdgeOrient,rr_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,498323,32950647,32950647,33310070.6475722082,13482996.6713063568,0.0109079390,0.5908123846,-0.5799044456,1125,0.8987500000,0.9148000000,0.8974486486,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0034914880,2001782
0,EdgeOrient,rr_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,1036037,32950647,32950647,33698029.5611047521,11582323.0394895449,0.0226818782,0.6484948220,-0.6258129438,1500,0.8650022053,0.8614032757,0.8654020864,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1970905330,1776
1,EdgeOrient,rr_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,698463,32950647,32950647,33454346.0015430562,11179992.6814812720,0.0152864677,0.6607049118,-0.6454184440,1500,0.8650000000,0.8839000000,0.8629000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0818653760,1001779
2,EdgeOrient,rr_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,912639,32950647,32950647,33608924.1550944224,11052059.0104480814,0.0199776701,0.6645874963,-0.6446098262,1500,0.8650000000,0.8686000000,0.8646000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.3891219810,2001782
