run,protocol,attack,epsilon,malicious_ratio,malicious_count,selector,poison_prob,attack_strength,clean_edges,protocol_edges,changed_edges,changed_reports,clean_triangles,protocol_triangles,attack_estimate,defense_estimate,rel_attack_clean,rel_defense_clean,defense_reduction,detected_users,mean_weight,mean_mal_weight,mean_honest_weight,gamma,tau,smooth,candidate_multiplier,min_weight,normalize_weights,seconds,seed
0,GenShuffle,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950764.7113357931,32950764.7113357931,0.0000035724,0.0000035724,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8494678450,1776
1,GenShuffle,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950455.6730049141,32950455.6730049141,0.0000058065,0.0000058065,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.7760012330,1001779
2,GenShuffle,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950604.3254010081,32950604.3254010081,0.0000012951,0.0000012951,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8030926620,2001782
0,GenShuffle,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,78620,32950647,32950647,33007474.7171319313,22508199.9696101956,0.0017246313,0.3169117447,-0.3151871134,375,0.9662500000,0.9676000000,0.9662153846,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8114308100,1776
1,GenShuffle,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,26868,32950647,32950647,32969836.0397784114,23386322.7881368846,0.0005823570,0.2902621066,-0.2896797496,375,0.9662712304,0.9892000000,0.9656833132,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.7612705970,1001779
2,GenShuffle,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,55448,32950647,32950647,32990599.9550293647,23175910.2822853141,0.0012125090,0.2966477932,-0.2954352843,375,0.9662500000,0.9856000000,0.9657538462,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8207029650,2001782
0,GenShuffle,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,255260,32950647,32950647,33134888.2941329591,17355648.9120667428,0.0055914318,0.4732835166,-0.4676920849,750,0.9325000000,0.9316000000,0.9325473684,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9061597330,1776
1,GenShuffle,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,171227,32950647,32950647,33073964.7567296624,17534564.8406644054,0.0037424988,0.4678537013,-0.4641112025,750,0.9325000000,0.9496000000,0.9316000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9037550770,1001779
2,GenShuffle,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,233723,32950647,32950647,33119192.8866410069,17259678.0354723223,0.0051151010,0.4761960809,-0.4710809799,750,0.9325000000,0.9334000000,0.9324526316,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8939279980,2001782
0,GenShuffle,rr_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,583338,32950647,32950647,33371536.7968236953,14193161.6755534653,0.0127733394,0.5692600004,-0.5564866610,1125,0.8987500000,0.9004000000,0.8986162162,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0576066380,1776
