run,protocol,attack,epsilon,malicious_ratio,malicious_count,selector,poison_prob,attack_strength,clean_edges,protocol_edges,changed_edges,changed_reports,clean_triangles,protocol_triangles,attack_estimate,defense_estimate,rel_attack_clean,rel_defense_clean,defense_reduction,detected_users,mean_weight,mean_mal_weight,mean_honest_weight,gamma,tau,smooth,candidate_multiplier,min_weight,normalize_weights,seconds,seed
0,LDP_ARROneNS,orig_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950705.8556679748,32950705.8556679748,0.0000017862,0.0000017862,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8180160030,1776
1,LDP_ARROneNS,orig_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950551.3365024738,32950551.3365024738,0.0000029032,0.0000029032,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.7566425160,1001779
2,LDP_ARROneNS,orig_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950625.6627003290,32950625.6627003290,0.0000006476,0.0000006476,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.7557626240,2001782
0,LDP_ARROneNS,orig_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,909623,30521,0,32950647,35779743,35779780.4376403913,35582586.6360511407,0.0858597234,0.0798752035,0.0059845199,96,0.9948199602,1.0000000000,0.9946871386,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.2571642630,1776
1,LDP_ARROneNS,orig_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,909860,30758,0,32950647,35697537,35697511.6725717634,35635294.2720990553,0.0833629966,0.0814747969,0.0018881997,63,0.9969937105,1.0000000000,0.9969166262,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.3320769740,1001779
2,LDP_ARROneNS,orig_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,909711,30609,0,32950647,35721682,35721688.4415201619,35590559.4939161614,0.0840967232,0.0801171672,0.0039795561,75,0.9960056759,0.9999371834,0.9959048680,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0594523770,2001782
0,LDP_ARROneNS,orig_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,1001661,122559,0,32950647,54551953,54551878.8516662642,54396423.5063374266,0.6555632080,0.6508453842,0.0047178238,75,0.9962983482,0.9985575012,0.9961794454,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1997397500,1776
1,LDP_ARROneNS,orig_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,1001898,122796,0,32950647,54480881,54480898.0351104811,54306939.7370544448,0.6534090525,0.6481296934,0.0052793591,89,0.9954379141,0.9985156279,0.9952759292,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.3628396950,1001779
2,LDP_ARROneNS,orig_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,1001645,122543,0,32950647,54469771,54469693.5196344182,54247419.3633729815,0.6530690132,0.6463233442,0.0067456689,82,0.9955133066,0.9954981022,0.9955141068,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.5378491940,2001782
0,LDP_ARROneNS,orig_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,1154864,275762,0,32950647,104911485,104911424.8632223457,104319522.3336767107,2.1838957476,2.1659324423,0.0179633052,89,0.9951335066,0.9958398647,0.9950762343,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,7.2409995890,1776
1,LDP_ARROneNS,orig_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,1155395,276293,0,32950647,104759559,104759549.9185952693,104415903.3769856542,2.1792865833,2.1688574545,0.0104291288,85,0.9956052466,0.9967731349,0.9955105530,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,7.1913148090,1001779
