run,protocol,attack,epsilon,malicious_ratio,malicious_count,selector,poison_prob,attack_strength,clean_edges,protocol_edges,changed_edges,changed_reports,clean_triangles,protocol_triangles,attack_estimate,defense_estimate,rel_attack_clean,rel_defense_clean,defense_reduction,detected_users,mean_weight,mean_mal_weight,mean_honest_weight,gamma,tau,smooth,candidate_multiplier,min_weight,normalize_weights,seconds,seed
0,PRIVET,lap_local_inc,1.0000000000,0.0000000000,0,random,1.0000000000,0.1000000000,879102,879102,0,0,32950647,32950647,32950764.7113357931,32950764.7113357931,0.0000035724,0.0000035724,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9742916580,1776
1,PRIVET,lap_local_inc,1.0000000000,0.0000000000,0,random,1.0000000000,0.1000000000,879102,879102,0,0,32950647,32950647,32950455.6730049141,32950455.6730049141,0.0000058065,0.0000058065,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0759647820,1001779
2,PRIVET,lap_local_inc,1.0000000000,0.0000000000,0,random,1.0000000000,0.1000000000,879102,879102,0,0,32950647,32950647,32950604.3254010081,32950604.3254010081,0.0000012951,0.0000012951,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0933627370,2001782
0,PRIVET,lap_local_inc,1.0000000000,0.0250000000,250,random,1.0000000000,0.1000000000,879102,879102,0,250,32950647,32950647,33046654.8446691372,31960430.7781362124,0.0029136862,0.0300514956,-0.0271378094,278,0.9780675200,0.2878771458,0.9957647091,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0004001170,1776
1,PRIVET,lap_local_inc,1.0000000000,0.0250000000,250,random,1.0000000000,0.1000000000,879102,879102,0,250,32950647,32950647,33009440.6396716051,32337827.1198421381,0.0017842939,0.0185981137,-0.0168138198,259,0.9796208665,0.3157964269,0.9966420060,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9535122350,1001779
2,PRIVET,lap_local_inc,1.0000000000,0.0250000000,250,random,1.0000000000,0.1000000000,879102,879102,0,250,32950647,32950647,33030254.1920676380,32128246.1978593208,0.0024159523,0.0249585631,-0.0225426108,275,0.9781502255,0.2724590792,0.9962448702,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9806392080,2001782
0,PRIVET,lap_local_inc,1.0000000000,0.0500000000,500,random,1.0000000000,0.1000000000,879102,879102,0,500,32950647,32950647,33118906.2780024894,31331928.2840787172,0.0051064029,0.0491255518,-0.0440191489,466,0.9609318957,0.2883811083,0.9963293056,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0096328880,1776
1,PRIVET,lap_local_inc,1.0000000000,0.0500000000,500,random,1.0000000000,0.1000000000,879102,879102,0,500,32950647,32950647,33088836.9730049819,31646396.5471646637,0.0041938470,0.0395819376,-0.0353880906,443,0.9629626479,0.3113511999,0.9972579873,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9976802440,1001779
2,PRIVET,lap_local_inc,1.0000000000,0.0500000000,500,random,1.0000000000,0.1000000000,879102,879102,0,500,32950647,32950647,33111149.6920676231,31432315.2083853483,0.0048710027,0.0460789675,-0.0412079647,467,0.9606841160,0.2737146339,0.9968404045,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8929588470,2001782
0,PRIVET,lap_local_inc,1.0000000000,0.0750000000,750,random,1.0000000000,0.1000000000,879102,879102,0,750,32950647,32950647,33203951.5780025162,30592692.6868913360,0.0076873931,0.0715601825,-0.0638727894,644,0.9445204346,0.2983414190,0.9969133277,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8466343560,1776
1,PRIVET,lap_local_inc,1.0000000000,0.0750000000,750,random,1.0000000000,0.1000000000,879102,879102,0,750,32950647,32950647,33170697.8730050027,30927526.7311181836,0.0066781958,0.0613984991,-0.0547203032,633,0.9455368400,0.3018161178,0.9977304120,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9218929510,1001779
2,PRIVET,lap_local_inc,1.0000000000,0.0750000000,750,random,1.0000000000,0.1000000000,879102,879102,0,750,32950647,32950647,33185012.4254009761,30790521.0635132641,0.0071126198,0.0655564043,-0.0584437845,650,0.9442023316,0.2870453710,0.9974853285,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1442278650,2001782
0,PRIVET,lap_local_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,0.1000000000,879102,879102,0,1000,32950647,32950647,33287592.9113358818,29867844.4018915929,0.0102257753,0.0935581811,-0.0833324058,835,0.9276743291,0.3004440107,0.9973665867,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1543883960,1776
1,PRIVET,lap_local_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,0.1000000000,879102,879102,0,1000,32950647,32950647,33229380.3396716565,30418973.1193588078,0.0084591158,0.0768322965,-0.0683731807,819,0.9288096654,0.3035509946,0.9982828510,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1370804020,1001779
2,PRIVET,lap_local_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,0.1000000000,879102,879102,0,1000,32950647,32950647,33267809.9920676649,30072634.3594283573,0.0096253950,0.0873431299,-0.0777177349,841,0.9273267869,0.2912635926,0.9980004751,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.2376076110,2001782
