run,protocol,attack,epsilon,malicious_ratio,malicious_count,selector,poison_prob,attack_strength,clean_edges,protocol_edges,changed_edges,changed_reports,clean_triangles,protocol_triangles,attack_estimate,defense_estimate,rel_attack_clean,rel_defense_clean,defense_reduction,detected_users,mean_weight,mean_mal_weight,mean_honest_weight,gamma,tau,smooth,seconds,seed
0,PRIVET,lap_scale_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950764.7113357931,33497241.8906201981,0.0000035724,0.0165882901,-0.0165847177,276,0.9834727592,0.0000000000,0.9834727592,0.7500000000,2.5000000000,0.3000000000,5.9649333340,1776
1,PRIVET,lap_scale_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950455.6730049141,33482738.7806948088,0.0000058065,0.0161481436,-0.0161423372,272,0.9838989739,0.0000000000,0.9838989739,0.7500000000,2.5000000000,0.3000000000,5.9693776060,1001779
2,PRIVET,lap_scale_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950604.3254010081,33488327.9782161377,0.0000012951,0.0163177669,-0.0163164718,268,0.9837416803,0.0000000000,0.9837416803,0.7500000000,2.5000000000,0.3000000000,5.9321720290,2001782
0,PRIVET,lap_scale_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,250,32950647,32950647,32950931.3780024610,33500954.4682256430,0.0000086304,0.0167009609,-0.0166923305,277,0.9833654476,0.9781347911,0.9834995670,0.7500000000,2.5000000000,0.3000000000,6.1704297440,1776
1,PRIVET,lap_scale_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,250,32950647,32950647,32950622.3396715820,33493801.7402801812,0.0000007484,0.0164838870,-0.0164831386,276,0.9835737883,0.9637881103,0.9840811134,0.7500000000,2.5000000000,0.3000000000,5.9151377190,1001779
2,PRIVET,lap_scale_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,250,32950647,32950647,32950770.9920676760,33501384.5147293694,0.0000037630,0.0167140122,-0.0167102492,275,0.9833609975,0.9657985165,0.9838113175,0.7500000000,2.5000000000,0.3000000000,5.9203601840,2001782
0,PRIVET,lap_scale_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,500,32950647,32950647,32951098.0446691252,33509315.1329971962,0.0000136885,0.0169546939,-0.0169410054,282,0.9831226145,0.9769777709,0.9834460273,0.7500000000,2.5000000000,0.3000000000,7.1078301690,1776
1,PRIVET,lap_scale_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,500,32950647,32950647,32950789.0063382499,33502885.4591666311,0.0000043097,0.0167595635,-0.0167552538,282,0.9833084443,0.9732174185,0.9838395509,0.7500000000,2.5000000000,0.3000000000,6.8055327310,1001779
2,PRIVET,lap_scale_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,500,32950647,32950647,32950937.6587343402,33506776.5822359435,0.0000088210,0.0168776529,-0.0168688318,276,0.9832051496,0.9720745714,0.9837909695,0.7500000000,2.5000000000,0.3000000000,6.5315078890,2001782
0,PRIVET,lap_scale_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,750,32950647,32950647,32951264.7113357931,33509609.1648669131,0.0000187466,0.0169636173,-0.0169448707,281,0.9831134637,0.9771026783,0.9836008247,0.7500000000,2.5000000000,0.3000000000,6.0761163340,1776
1,PRIVET,lap_scale_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,750,32950647,32950647,32950955.6730049141,33505446.4173874967,0.0000093677,0.0168372845,-0.0168279167,284,0.9832386902,0.9748599575,0.9839180470,0.7500000000,2.5000000000,0.3000000000,6.0629933200,1001779
2,PRIVET,lap_scale_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,750,32950647,32950647,32951104.3254010081,33518715.1922554336,0.0000138791,0.0172399708,-0.0172260917,282,0.9828569302,0.9713080599,0.9837933251,0.7500000000,2.5000000000,0.3000000000,6.0993121560,2001782
0,PRIVET,lap_scale_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,1000,32950647,32950647,32951431.3780024610,33520224.9802116863,0.0000238046,0.0172857905,-0.0172619858,283,0.9828037527,0.9741156031,0.9837691026,0.7500000000,2.5000000000,0.3000000000,6.1176673420,1776
1,PRIVET,lap_scale_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,1000,32950647,32950647,32951122.3396715820,33516067.6661625765,0.0000144258,0.0171596226,-0.0171451968,292,0.9829290758,0.9744691365,0.9838690690,0.7500000000,2.5000000000,0.3000000000,6.0811342120,1001779
2,PRIVET,lap_scale_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,1000,32950647,32950647,32951270.9920676760,33532074.8760287277,0.0000189372,0.0176454161,-0.0176264789,288,0.9824634500,0.9712461478,0.9837098170,0.7500000000,2.5000000000,0.3000000000,6.0733464290,2001782
