run,protocol,attack,epsilon,malicious_ratio,malicious_count,selector,poison_prob,attack_strength,clean_edges,protocol_edges,changed_edges,changed_reports,clean_triangles,protocol_triangles,attack_estimate,defense_estimate,rel_attack_clean,rel_defense_clean,defense_reduction,detected_users,mean_weight,mean_mal_weight,mean_honest_weight,gamma,tau,smooth,candidate_multiplier,min_weight,normalize_weights,seconds,seed
0,TDP_VC,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950735.2835021205,32950735.2835021205,0.0000026793,0.0000026793,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.2135671250,1776
1,TDP_VC,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950503.5047539063,32950503.5047539063,0.0000043549,0.0000043549,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1080188840,1001779
2,TDP_VC,rr_inc,1.0000000000,0.0000000000,0,random,1.0000000000,1.0000000000,879102,879102,0,0,32950647,32950647,32950614.9940508567,32950614.9940508567,0.0000009713,0.0000009713,0.0000000000,0,1.0000000000,0.0000000000,1.0000000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1611510440,2001782
0,TDP_VC,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,78620,32950647,32950647,33007445.2892979868,22511387.5542762540,0.0017237382,0.3168150066,-0.3150912684,375,0.9662500000,0.9676000000,0.9662153846,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.1919094630,1776
1,TDP_VC,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,26868,32950647,32950647,32969883.8715271540,23337546.1377044730,0.0005838086,0.2917424008,-0.2911585921,375,0.9662500000,0.9892000000,0.9656615385,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0858195870,1001779
2,TDP_VC,rr_inc,1.0000000000,0.0250000000,250,random,1.0000000000,1.0000000000,879102,879102,0,55448,32950647,32950647,32990610.6236790754,23182915.3536816351,0.0012128327,0.2964352004,-0.2952223676,375,0.9662500000,0.9856000000,0.9657538462,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.5970023110,2001782
0,TDP_VC,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,255260,32950647,32950647,33134858.8662988693,17363923.3274688125,0.0055905387,0.4730324012,-0.4674418626,750,0.9325000000,0.9316000000,0.9325473684,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.6330876680,1776
1,TDP_VC,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,171227,32950647,32950647,33074012.5884785615,17540847.9779102951,0.0037439504,0.4676630180,-0.4639190676,750,0.9325000000,0.9496000000,0.9316000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.1970387080,1001779
2,TDP_VC,rr_inc,1.0000000000,0.0500000000,500,random,1.0000000000,1.0000000000,879102,879102,0,233723,32950647,32950647,33119203.5552904867,17252143.7476871125,0.0051154248,0.4764247346,-0.4713093099,750,0.9325000000,0.9334000000,0.9324526316,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.8465263260,2001782
0,TDP_VC,rr_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,583338,32950647,32950647,33371507.3689899109,14198693.3189635109,0.0127724463,0.5690921238,-0.5563196775,1125,0.8987500000,0.8992000000,0.8987135135,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.0155602450,1776
1,TDP_VC,rr_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,433233,32950647,32950647,33263002.1811853051,13805580.8770643082,0.0094794855,0.5810224644,-0.5715429789,1125,0.8987500000,0.9100000000,0.8978378378,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9723688380,1001779
2,TDP_VC,rr_inc,1.0000000000,0.0750000000,750,random,1.0000000000,1.0000000000,879102,879102,0,498323,32950647,32950647,33310064.2463821284,13482991.8627642523,0.0109077447,0.5908125305,-0.5799047858,1125,0.8987500000,0.9148000000,0.8974486486,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,5.9663050340,2001782
0,TDP_VC,rr_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,1036037,32950647,32950647,33698047.2178051248,11582670.9640290663,0.0226824140,0.6484842630,-0.6258018490,1500,0.8650018661,0.8614021672,0.8654018327,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.9126178350,1776
1,TDP_VC,rr_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,698463,32950647,32950647,33454317.3024939336,11179995.5623976495,0.0152855967,0.6607048243,-0.6454192276,1500,0.8650006089,0.8839028278,0.8629003624,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.4478740810,1001779
2,TDP_VC,rr_inc,1.0000000000,0.1000000000,1000,random,1.0000000000,1.0000000000,879102,879102,0,912639,32950647,32950647,33608917.7539042756,11049587.1565350499,0.0199774758,0.6646625131,-0.6446850373,1500,0.8650000000,0.8686000000,0.8646000000,2.0000000000,4.0000000000,0.0000000000,1.5000000000,0.1000000000,0,6.4198689700,2001782
