edge_file,n_header,n_used,attack_type,malicious_ratio,poison_prob,malicious_nodes,added_edges,removed_edges,clean_m_used,poisoned_m_used,clean_exact_triangles,poisoned_exact_triangles,load_seconds,clean_exact_seconds,poisoned_exact_seconds,epsilon,psi,workers,runs,run,noise,seed,split_factor,bias_factor,dmax_slack_multiplier,estimate,abs_error_vs_clean,relative_error_vs_clean,abs_error_vs_poisoned,relative_error_vs_poisoned,max_noisy_out_degree_before_slack,dmax_slack,max_noisy_out_degree,kcore_rounds_cap,kcore_rounds_run,kcore_max_threshold,levels_per_group,kcore_seconds,rr_seconds,maxout_seconds,count_seconds,total_seconds
../data/Gplus/edges.csv,107614,10000,original_increase,0.05,1,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,0.50000000,0.50000000,4,5,0,1,15722096187311718082,0.80000000,8,12.00000000,51917675.82497755,18967028.82497755,0.57561931,2492495.17502245,0.04580936,562.00000000,221.04816893,783.04816893,170,70,70,5.75000000,1.41494810,2.74412158,0.00743035,1.83161324,5.99811912
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,0.50000000,0.50000000,4,5,1,1,4460723817787692818,0.80000000,8,12.00000000,51032323.38795846,18081676.38795846,0.54875027,3377847.61204154,0.06208118,569.00000000,221.04816893,790.04816893,170,70,70,5.75000000,2.10731334,2.61165922,0.02488110,1.64714236,6.39100235
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,0.50000000,0.50000000,4,5,2,1,16085610682330738317,0.80000000,8,12.00000000,54891142.93634623,21940495.93634623,0.66585934,480971.93634623,0.00883974,586.00000000,221.04816893,807.04816893,170,70,70,5.75000000,1.11556677,2.87527402,0.00769217,1.70354701,5.70208461
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,0.50000000,0.50000000,4,5,3,1,8150873202967846913,0.80000000,8,12.00000000,53626537.77124433,20675890.77124433,0.62748057,783633.22875567,0.01440233,547.00000000,221.04816893,768.04816893,170,70,70,5.75000000,0.96441398,3.05516376,0.02588047,2.01604058,6.06150449
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,0.50000000,0.50000000,4,5,4,1,1705041044603258258,0.80000000,8,12.00000000,54153084.87401904,21202437.87401904,0.64346044,257086.12598096,0.00472496,560.00000000,221.04816893,781.04816893,170,70,70,5.75000000,0.46393470,2.62690689,0.02496441,1.77812841,4.89393890
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,1.00000000,0.50000000,4,5,0,1,13886243051147984436,0.80000000,8,12.00000000,52883577.92585371,19932930.92585371,0.60493291,1526593.07414629,0.02805713,539.00000000,110.52408446,649.52408446,170,70,70,5.75000000,0.96008151,2.21601072,0.04162254,2.12902967,5.34674847
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,1.00000000,0.50000000,4,5,1,1,1430029224877764749,0.80000000,8,12.00000000,55974430.33061773,23023783.33061773,0.69873539,1564259.33061773,0.02874939,543.00000000,110.52408446,653.52408446,170,70,70,5.75000000,1.11782337,2.48300559,0.03399969,1.89455176,5.52938403
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,1.00000000,0.50000000,4,5,2,1,9597252697081238370,0.80000000,8,12.00000000,55140207.62127578,22189560.62127578,0.67341806,730036.62127578,0.01341728,525.00000000,110.52408446,635.52408446,170,70,70,5.75000000,1.07825115,2.31707475,0.02823637,2.06416305,5.48772921
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,1.00000000,0.50000000,4,5,3,1,2104722730755119818,0.80000000,8,12.00000000,56303756.88935052,23353109.88935052,0.70872993,1893585.88935052,0.03480206,550.00000000,110.52408446,660.52408446,170,70,70,5.75000000,1.13020549,2.31654358,0.00807778,2.12614612,5.58097675
../data/Gplus/edges.csv,107614,10000,original_increase,0.05000000,1.00000000,500,122740,0,879102,1001842,32950647,54410171,33.24243567,4.07708372,4.29146419,1.00000000,0.50000000,4,5,4,1,13870269351386666240,0.80000000,8,12.00000000,53710900.32085387,20760253.32085387,0.63004084,699270.67914613,0.01285184,537.00000000,110.52408446,647.52408446,170,70,70,5.75000000,0.78264837,2.64110652,0.00688990,2.00304363,5.43369262
