dataset,node_num,eps,eps_edge,eps_star,budget_mode,q,m,run,seed,attack_type,malicious_ratio,malicious_count,attack_strength,edge_count_before_attack,edge_count_after_attack,dmax_after_attack,added_edges,removed_edges,rr_forced_reports,selected_pair_count,clean_triangles,true_triangles_after_attack,estimate_triangle,raw_counted_three_times,rel_error_clean,signed_rel_clean,rel_error_attack_true,time_sec
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,clean,0.0000000000,0,0.0000000000,879102,879102,3197,0,0,0,49995,32950647,-1,41892897.9355553761,125678693.8066661358,0.2713831669,0.2713831669,nan,14.7591081670
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,40,49995,32950647,-1,41117116.3774609938,123351349.1323829740,0.2478394241,0.2478394241,nan,12.2087745860
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,128,49995,32950647,-1,41227365.3912170827,123682096.1736512482,0.2511853073,0.2511853073,nan,5.9709935320
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,291,49995,32950647,-1,39235096.6539512798,117705289.9618538469,0.1907231034,0.1907231034,nan,12.0287712390
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,509,49995,32950647,-1,42410076.4364647642,127230229.3093942851,0.2870787161,0.2870787161,nan,28.4956881340
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,782,49995,32950647,-1,44543244.0890332535,133629732.2670997530,0.3518169792,0.3518169792,nan,28.2453578480
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1127,49995,32950647,-1,47173853.0629973933,141521559.1889921725,0.4316517992,0.4316517992,nan,27.3925512920
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1537,49995,32950647,-1,53751322.9830713272,161253968.9492139816,0.6312676040,0.6312676040,nan,28.1102672940
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_increase,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,2007,49995,32950647,-1,53789635.6063089967,161368906.8189269900,0.6324303315,0.6324303315,nan,29.2695733930
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,40,49995,32950647,-1,39756120.3224364221,119268360.9673092663,0.2065353473,0.2065353473,nan,29.0874638520
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,128,49995,32950647,-1,38478153.3600674421,115434460.0802023262,0.1677510721,0.1677510721,nan,27.8415578260
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,291,49995,32950647,-1,34580490.1457674205,103741470.4373022616,0.0494631606,0.0494631606,nan,28.8613298040
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,509,49995,32950647,-1,34135220.4219155610,102405661.2657466829,0.0359499291,0.0359499291,nan,29.2620765880
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,782,49995,32950647,-1,33001997.5424252935,99005992.6272758842,0.0015584077,0.0015584077,nan,28.8556833710
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,0,1776,rr_decrease,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1127,49995,32950647,-1,30324721.9017937668,90974165.7053813040,0.0796926718,-0.0796926718,nan,29.0174691700
