#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),#3st(true),#3st(est),#3st(rel-err),#3st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),sen_tri,sen_2st,sen_3st,eclip_sum,tclip_sum,#eclip,#tclip,max_deg
7.681090e+05,8.657782e+08,1.126155e+03,7.482424e+17,1.486122e+07,1.466298e+07,1.333945e-02,3.929925e+10,1.670481e+09,1.793797e+09,7.382085e-02,1.520691e+16,1.550564e-01,1.000000e+00,5.449265e+00,7.139296e-01,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.675680e+03,0,3393,1208
7.681090e+05,-6.293634e+08,8.203673e+02,3.970657e+17,1.486122e+07,1.514934e+07,1.938791e-02,8.301772e+10,1.670481e+09,1.717628e+09,2.822368e-02,2.222849e+15,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.652538e+03,0,3348,1208
7.681090e+05,-1.599836e+09,2.083824e+03,2.561934e+18,1.486122e+07,1.480586e+07,3.725107e-03,3.064687e+09,1.670481e+09,1.736792e+09,3.969580e-02,4.397156e+15,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.726720e+03,0,3441,1208
7.681090e+05,-5.134044e+07,6.784005e+01,2.715301e+15,1.486122e+07,1.504153e+07,1.213351e-02,3.251486e+10,1.670481e+09,1.711431e+09,2.451445e-02,1.676977e+15,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,3.236124e+03,0,3971,1208
7.681090e+05,-9.868575e+08,1.285788e+03,9.754043e+17,1.486122e+07,1.478100e+07,5.397711e-03,6.434694e+09,1.670481e+09,1.887355e+09,1.298278e-01,4.703470e+16,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.429170e+03,0,3138,1208
7.681090e+05,-9.406766e+06,1.324666e+01,1.035281e+14,1.486122e+07,1.481689e+07,2.982338e-03,1.964366e+09,1.670481e+09,1.598565e+09,4.305066e-02,5.171808e+15,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.728748e+03,0,3429,1208
7.681090e+05,8.132100e+07,1.048717e+02,6.488769e+15,1.486122e+07,1.513174e+07,1.820368e-02,7.318584e+10,1.670481e+09,1.634251e+09,2.168838e-02,1.312615e+15,1.550564e-01,1.000000e+00,5.449265e+00,7.139296e-01,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.531406e+03,0,3240,1208
7.681090e+05,-3.388909e+08,4.422015e+02,1.153682e+17,1.486122e+07,1.509668e+07,1.584414e-02,5.544291e+10,1.670481e+09,1.617975e+09,3.143125e-02,2.756806e+15,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.886268e+03,0,3596,1208
7.681090e+05,-1.336573e+09,1.741083e+03,1.788482e+18,1.486122e+07,1.489721e+07,2.421963e-03,1.295519e+09,1.670481e+09,1.624853e+09,2.731405e-02,2.081877e+15,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.552235e+03,0,3265,1208
7.681090e+05,-7.364143e+08,9.597367e+02,5.434378e+17,1.486122e+07,1.491433e+07,3.574034e-03,2.821149e+09,1.670481e+09,1.460663e+09,1.256030e-01,4.402332e+16,1.550564e-01,0.000000e+00,1.000000e+00,2.404249e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.674897e+03,0,3354,1208
function,AVG(rel-err),AVG(l2-loss)
Triangles,8.645115e+02,7.139242e+17
2-stars,9.700984e-03,2.990410e+10
3-stars,5.451699e-02,1.258850e+16
Clst,1.889853e+00,1.620199e-01
