#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),#3st(true),#3st(est),#3st(rel-err),#3st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),sen_tri,sen_2st,sen_3st,eclip_sum,tclip_sum,#eclip,#tclip,max_deg
4.686000e+03,5.246227e+07,1.119453e+04,2.751799e+15,6.329900e+04,5.246799e+04,1.711088e-01,1.173109e+08,5.061040e+05,8.689343e+05,7.169086e-01,1.316458e+11,2.220888e-01,1.000000e+00,3.502703e+00,6.051458e-01,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.676200e+01,0,17,66
4.686000e+03,-3.756836e+07,8.018150e+03,1.411734e+15,6.329900e+04,7.904109e+04,2.486941e-01,2.478134e+08,5.061040e+05,6.448237e+05,2.740932e-01,1.924315e+10,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.286100e+01,0,13,66
4.686000e+03,-9.600333e+07,2.048827e+04,9.217539e+15,6.329900e+04,6.027439e+04,4.778298e-02,9.148294e+06,5.061040e+05,7.012093e+05,3.855043e-01,3.806607e+10,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.077600e+01,0,11,66
4.686000e+03,-2.777970e+06,5.938233e+02,7.743175e+12,6.329900e+04,7.315085e+04,1.556400e-01,9.705902e+07,5.061040e+05,6.265928e+05,2.380712e-01,1.451755e+10,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.867400e+01,0,19,66
4.686000e+03,-5.908915e+07,1.261072e+04,3.492081e+15,6.329900e+04,5.891631e+04,6.923794e-02,1.920799e+07,5.061040e+05,1.144209e+06,1.260818e+00,4.071782e+11,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.374300e+01,0,14,66
4.686000e+03,-2.388624e+05,5.197363e+01,5.931583e+10,6.329900e+04,6.087748e+04,3.825528e-02,5.863764e+06,5.061040e+05,2.945095e+05,4.180849e-01,4.477221e+10,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.755300e+01,0,18,66
4.686000e+03,5.227518e+06,1.114561e+03,2.727797e+13,6.329900e+04,7.807955e+04,2.335037e-01,2.184646e+08,5.061040e+05,3.995053e+05,2.106260e-01,1.136327e+10,2.220888e-01,1.000000e+00,3.502703e+00,6.051458e-01,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.274700e+01,0,13,66
4.686000e+03,-2.008311e+07,4.286768e+03,4.035196e+14,6.329900e+04,7.616371e+04,2.032372e-01,1.655008e+08,5.061040e+05,3.516190e+05,3.052435e-01,2.386560e+10,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.851600e+01,0,19,66
4.686000e+03,-8.014843e+07,1.710480e+04,6.424522e+15,6.329900e+04,6.526552e+04,3.106719e-02,3.867210e+06,5.061040e+05,3.718551e+05,2.652594e-01,1.802275e+10,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.769600e+01,0,18,66
4.686000e+03,-4.401008e+07,9.392823e+03,1.937300e+15,6.329900e+04,6.620095e+04,4.584512e-02,8.421316e+06,5.061040e+05,-1.112361e+05,1.219789e+00,3.811088e+11,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.360000e+01,0,14,66
function,AVG(rel-err),AVG(l2-loss)
Triangles,8.485643e+03,2.567358e+15
2-stars,1.244372e-01,8.926573e+07
3-stars,5.294399e-01,1.089783e+11
Clst,1.500541e+00,1.604879e-01
