#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,6.166072e+06,3.258182e-02,4.312602e+10,1.290487e+08,1.290422e+08,5.058002e-05,4.260548e+07,1.481705e-01,1.433501e-01,3.253289e-02,2.323640e-05,4.180487,3018
6.373740e+06,2.133208e+06,6.653130e-01,1.798211e+13,1.290487e+08,1.290731e+08,1.889020e-04,5.942655e+08,1.481705e-01,4.958138e-02,6.653762e-01,9.719821e-03,4.180487,3018
6.373740e+06,2.725965e+06,5.723131e-01,1.330626e+13,1.290487e+08,1.289901e+08,4.546207e-04,3.441961e+09,1.481705e-01,6.339942e-02,5.721186e-01,7.186141e-03,4.180487,3018
6.373740e+06,-6.311571e+05,1.099025e+00,4.906858e+13,1.290487e+08,1.290205e+08,2.188956e-04,7.979607e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.363309e+07,1.138947e+00,5.269815e+13,1.290487e+08,1.289836e+08,5.048053e-04,4.243805e+09,1.481705e-01,3.170889e-01,1.140027e+00,2.853342e-02,4.180487,3018
6.373740e+06,8.581375e+06,3.463642e-01,4.873654e+12,1.290487e+08,1.290468e+08,1.531304e-05,3.905081e+06,1.481705e-01,1.994946e-01,3.463848e-01,2.634155e-03,4.180487,3018
6.373740e+06,5.623996e+06,1.176301e-01,5.621156e+11,1.290487e+08,1.290384e+08,8.014222e-05,1.069622e+08,1.481705e-01,1.307517e-01,1.175594e-01,3.034158e-04,4.180487,3018
6.373740e+06,7.768061e+06,2.187603e-01,1.944131e+12,1.290487e+08,1.291095e+08,4.710579e-04,3.695354e+09,1.481705e-01,1.804993e-01,2.181864e-01,1.045151e-03,4.180487,3018
6.373740e+06,3.753627e+06,4.110794e-01,6.864993e+12,1.290487e+08,1.290593e+08,8.165269e-05,1.110321e+08,1.481705e-01,8.725355e-02,4.111275e-01,3.710878e-03,4.180487,3018
6.373740e+06,4.690596e+06,2.640747e-01,2.832973e+12,1.290487e+08,1.291172e+08,5.307296e-04,4.690878e+09,1.481705e-01,1.089846e-01,2.644651e-01,1.535538e-03,4.180487,3018
6.373740e+06,8.971640e+06,4.075942e-01,6.749082e+12,1.290487e+08,1.290164e+08,2.509454e-04,1.048736e+09,1.481705e-01,2.086163e-01,4.079475e-01,3.653695e-03,4.180487,3018
6.373740e+06,4.780566e+06,2.499590e-01,2.538203e+12,1.290487e+08,1.291152e+08,5.153965e-04,4.423748e+09,1.481705e-01,1.110767e-01,2.503454e-01,1.375951e-03,4.180487,3018
6.373740e+06,1.634735e+05,9.743520e-01,3.856741e+13,1.290487e+08,1.290491e+08,2.448651e-06,9.985307e+04,1.481705e-01,3.800265e-03,9.743521e-01,2.084277e-02,4.180487,3018
6.373740e+06,6.093807e+05,9.043920e-01,3.322784e+13,1.290487e+08,1.292067e+08,1.224012e-03,2.495049e+10,1.481705e-01,1.414897e-02,9.045089e-01,1.796178e-02,4.180487,3018
6.373740e+06,4.916893e+06,2.285702e-01,2.122404e+12,1.290487e+08,1.289660e+08,6.409954e-04,6.842540e+09,1.481705e-01,1.143765e-01,2.280754e-01,1.142038e-03,4.180487,3018
6.373740e+06,5.094545e+06,2.006977e-01,1.636340e+12,1.290487e+08,1.290397e+08,6.975853e-05,8.104050e+07,1.481705e-01,1.184413e-01,2.006419e-01,8.838266e-04,4.180487,3018
6.373740e+06,-8.196424e+05,1.128597e+00,5.174475e+13,1.290487e+08,1.291149e+08,5.126616e-04,4.376925e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,3.265185e+06,4.877129e-01,9.663116e+12,1.290487e+08,1.290915e+08,3.312671e-04,1.827528e+09,1.481705e-01,7.588072e-02,4.878825e-01,5.225818e-03,4.180487,3018
6.373740e+06,1.828495e+06,7.131206e-01,2.065925e+13,1.290487e+08,1.289588e+08,6.972160e-04,8.095471e+09,1.481705e-01,4.253674e-02,7.129204e-01,1.115850e-02,4.180487,3018
6.373740e+06,7.533233e+06,1.819172e-01,1.344424e+12,1.290487e+08,1.289639e+08,6.577472e-04,7.204860e+09,1.481705e-01,1.752406e-01,1.826951e-01,7.327866e-04,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,5.171500e-01,1.592145e+13
2-stars,3.749574e-04,3.829008e+09
Clst,5.058574e-01,8.078897e-03
