#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,6.625854e+06,3.955503e-02,6.356122e+10,1.290487e+08,1.290422e+08,5.058002e-05,4.260548e+07,1.481705e-01,1.540392e-01,3.960762e-02,3.444143e-05,4.180487,3018
6.373740e+06,2.131699e+06,6.655497e-01,1.799491e+13,1.290487e+08,1.290731e+08,1.889020e-04,5.942655e+08,1.481705e-01,4.954631e-02,6.656129e-01,9.726737e-03,4.180487,3018
6.373740e+06,2.675582e+06,5.802179e-01,1.367637e+13,1.290487e+08,1.289901e+08,4.546207e-04,3.441961e+09,1.481705e-01,6.222763e-02,5.800270e-01,7.386183e-03,4.180487,3018
6.373740e+06,-5.053513e+05,1.079286e+00,4.732190e+13,1.290487e+08,1.290205e+08,2.188956e-04,7.979607e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.361287e+07,1.135775e+00,5.240505e+13,1.290487e+08,1.289836e+08,5.048053e-04,4.243805e+09,1.481705e-01,3.166187e-01,1.136854e+00,2.837479e-02,4.180487,3018
6.373740e+06,9.421592e+06,4.781889e-01,9.289399e+12,1.290487e+08,1.290468e+08,1.531304e-05,3.905081e+06,1.481705e-01,2.190274e-01,4.782115e-01,5.020694e-03,4.180487,3018
6.373740e+06,5.922372e+06,7.081688e-02,2.037334e+11,1.290487e+08,1.290384e+08,8.014222e-05,1.069622e+08,1.481705e-01,1.376886e-01,7.074241e-02,1.098711e-04,4.180487,3018
6.373740e+06,7.540582e+06,1.830702e-01,1.361520e+12,1.290487e+08,1.291095e+08,4.710579e-04,3.695354e+09,1.481705e-01,1.752136e-01,1.825132e-01,7.313277e-04,4.180487,3018
6.373740e+06,4.214917e+06,3.387058e-01,4.660516e+12,1.290487e+08,1.290593e+08,8.165269e-05,1.110321e+08,1.481705e-01,9.797631e-02,3.387598e-01,2.519460e-03,4.180487,3018
6.373740e+06,4.612758e+06,2.762871e-01,3.101057e+12,1.290487e+08,1.291172e+08,5.307296e-04,4.690878e+09,1.481705e-01,1.071761e-01,2.766710e-01,1.680548e-03,4.180487,3018
6.373740e+06,1.598634e+07,1.508156e+00,9.240201e+13,1.290487e+08,1.290164e+08,2.509454e-04,1.048736e+09,1.481705e-01,3.717281e-01,1.508786e+00,4.997801e-02,4.180487,3018
6.373740e+06,5.361025e+06,1.588886e-01,1.025591e+12,1.290487e+08,1.291152e+08,5.153965e-04,4.423748e+09,1.481705e-01,1.245637e-01,1.593219e-01,5.572816e-04,4.180487,3018
6.373740e+06,1.910886e+06,7.001939e-01,1.991707e+13,1.290487e+08,1.290491e+08,2.448651e-06,9.985307e+04,1.481705e-01,4.442231e-02,7.001947e-01,1.076369e-02,4.180487,3018
6.373740e+06,1.359392e+06,7.867199e-01,2.514369e+13,1.290487e+08,1.292067e+08,1.224012e-03,2.495049e+10,1.481705e-01,3.156319e-02,7.869807e-01,1.359727e-02,4.180487,3018
6.373740e+06,5.665395e+06,1.111349e-01,5.017525e+11,1.290487e+08,1.289660e+08,6.409954e-04,6.842540e+09,1.481705e-01,1.317881e-01,1.105648e-01,2.683843e-04,4.180487,3018
6.373740e+06,5.401066e+06,1.526065e-01,9.460944e+11,1.290487e+08,1.290397e+08,6.975853e-05,8.104050e+07,1.481705e-01,1.255675e-01,1.525473e-01,5.108965e-04,4.180487,3018
6.373740e+06,-2.406921e+05,1.037763e+00,4.375071e+13,1.290487e+08,1.291149e+08,5.126616e-04,4.376925e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,4.713315e+06,2.605103e-01,2.757012e+12,1.290487e+08,1.290915e+08,3.312671e-04,1.827528e+09,1.481705e-01,1.095343e-01,2.607552e-01,1.492759e-03,4.180487,3018
6.373740e+06,2.277113e+06,6.427352e-01,1.678235e+13,1.290487e+08,1.289588e+08,6.972160e-04,8.095471e+09,1.481705e-01,5.297305e-02,6.424859e-01,9.062560e-03,4.180487,3018
6.373740e+06,7.233951e+06,1.349617e-01,7.399624e+11,1.290487e+08,1.289639e+08,6.577472e-04,7.204860e+09,1.481705e-01,1.682786e-01,1.357087e-01,4.043328e-04,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,5.170562e-01,1.770221e+13
2-stars,3.749574e-04,3.829008e+09
Clst,5.113172e-01,9.306413e-03
