#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,7.299230e+06,1.452036e-01,8.565321e+11,1.290487e+08,1.290422e+08,5.058002e-05,4.260548e+07,1.481705e-01,1.696940e-01,1.452616e-01,4.632603e-04,4.180487,3018
6.373740e+06,2.058989e+06,6.769575e-01,1.861708e+13,1.290487e+08,1.290731e+08,1.889020e-04,5.942655e+08,1.481705e-01,4.785634e-02,6.770185e-01,1.006294e-02,4.180487,3018
6.373740e+06,4.000924e+06,3.722800e-01,5.630256e+12,1.290487e+08,1.289901e+08,4.546207e-04,3.441961e+09,1.481705e-01,9.305191e-02,3.719945e-01,3.038063e-03,4.180487,3018
6.373740e+06,1.258047e+06,8.026202e-01,2.617031e+13,1.290487e+08,1.290205e+08,2.188956e-04,7.979607e+08,1.481705e-01,2.925227e-02,8.025770e-01,1.414155e-02,4.180487,3018
6.373740e+06,1.407959e+07,1.209000e+00,5.938010e+13,1.290487e+08,1.289836e+08,5.048053e-04,4.243805e+09,1.481705e-01,3.274740e-01,1.210115e+00,3.214972e-02,4.180487,3018
6.373740e+06,9.522952e+06,4.940917e-01,9.917535e+12,1.290487e+08,1.290468e+08,1.531304e-05,3.905081e+06,1.481705e-01,2.213838e-01,4.941145e-01,5.360175e-03,4.180487,3018
6.373740e+06,5.459267e+06,1.434750e-01,8.362600e+11,1.290487e+08,1.290384e+08,8.014222e-05,1.069622e+08,1.481705e-01,1.269219e-01,1.434064e-01,4.515030e-04,4.180487,3018
6.373740e+06,7.733664e+06,2.133636e-01,1.849394e+12,1.290487e+08,1.291095e+08,4.710579e-04,3.695354e+09,1.481705e-01,1.797001e-01,2.127923e-01,9.941125e-04,4.180487,3018
6.373740e+06,4.924801e+06,2.273294e-01,2.099423e+12,1.290487e+08,1.290593e+08,8.165269e-05,1.110321e+08,1.481705e-01,1.144777e-01,2.273925e-01,1.135210e-03,4.180487,3018
6.373740e+06,5.304842e+06,1.677034e-01,1.142543e+12,1.290487e+08,1.291172e+08,5.307296e-04,4.690878e+09,1.481705e-01,1.232564e-01,1.681449e-01,6.207134e-04,4.180487,3018
6.373740e+06,1.876886e+07,1.944717e+00,1.536390e+14,1.290487e+08,1.290164e+08,2.509454e-04,1.048736e+09,1.481705e-01,4.364298e-01,1.945456e+00,8.309342e-02,4.180487,3018
6.373740e+06,6.835101e+06,7.238471e-02,2.128543e+11,1.290487e+08,1.291152e+08,5.153965e-04,4.423748e+09,1.481705e-01,1.588140e-01,7.183229e-02,1.132826e-04,4.180487,3018
6.373740e+06,3.298376e+06,4.825054e-01,9.457862e+12,1.290487e+08,1.290491e+08,2.448651e-06,9.985307e+04,1.481705e-01,7.667727e-02,4.825066e-01,5.111287e-03,4.180487,3018
6.373740e+06,2.286194e+06,6.413105e-01,1.670803e+13,1.290487e+08,1.292067e+08,1.224012e-03,2.495049e+10,1.481705e-01,5.308225e-02,6.417490e-01,9.041783e-03,4.180487,3018
6.373740e+06,7.019396e+06,1.012993e-01,4.168712e+11,1.290487e+08,1.289660e+08,6.409954e-04,6.842540e+09,1.481705e-01,1.632848e-01,1.020057e-01,2.284403e-04,4.180487,3018
6.373740e+06,4.806723e+06,2.458552e-01,2.455542e+12,1.290487e+08,1.290397e+08,6.975853e-05,8.104050e+07,1.481705e-01,1.117498e-01,2.458026e-01,1.326467e-03,4.180487,3018
6.373740e+06,1.567360e+06,7.540910e-01,2.310129e+13,1.290487e+08,1.291149e+08,5.126616e-04,4.376925e+09,1.481705e-01,3.641780e-02,7.542170e-01,1.248867e-02,4.180487,3018
6.373740e+06,6.749448e+06,5.894623e-02,1.411565e+11,1.290487e+08,1.290915e+08,3.312671e-04,1.827528e+09,1.481705e-01,1.568527e-01,5.859556e-02,7.537947e-05,4.180487,3018
6.373740e+06,5.663025e+06,1.115067e-01,5.051152e+11,1.290487e+08,1.289588e+08,6.972160e-04,8.095471e+09,1.481705e-01,1.317404e-01,1.108868e-01,2.699499e-04,4.180487,3018
6.373740e+06,9.127080e+06,4.319818e-01,7.580879e+12,1.290487e+08,1.289639e+08,6.577472e-04,7.204860e+09,1.481705e-01,2.123172e-01,4.329243e-01,4.114789e-03,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,4.648311e-01,1.703590e+13
2-stars,3.749574e-04,3.829008e+09
Clst,4.649397e-01,9.214036e-03
