#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,6.879290e+06,7.931762e-02,2.555807e+11,1.290487e+08,1.290422e+08,5.058002e-05,4.260548e+07,1.481705e-01,1.599312e-01,7.937222e-02,1.383123e-04,4.180487,3018
6.373740e+06,1.967275e+06,6.913468e-01,1.941693e+13,1.290487e+08,1.290731e+08,1.889020e-04,5.942655e+08,1.481705e-01,4.572467e-02,6.914051e-01,1.049516e-02,4.180487,3018
6.373740e+06,2.675582e+06,5.802179e-01,1.367637e+13,1.290487e+08,1.289901e+08,4.546207e-04,3.441961e+09,1.481705e-01,6.222763e-02,5.800270e-01,7.386183e-03,4.180487,3018
6.373740e+06,-1.363270e+05,1.021389e+00,4.238097e+13,1.290487e+08,1.290205e+08,2.188956e-04,7.979607e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.366232e+07,1.143533e+00,5.312346e+13,1.290487e+08,1.289836e+08,5.048053e-04,4.243805e+09,1.481705e-01,3.177689e-01,1.144616e+00,2.876360e-02,4.180487,3018
6.373740e+06,9.593596e+06,5.051753e-01,1.036747e+13,1.290487e+08,1.290468e+08,1.531304e-05,3.905081e+06,1.481705e-01,2.230260e-01,5.051984e-01,5.603347e-03,4.180487,3018
6.373740e+06,5.922372e+06,7.081688e-02,2.037334e+11,1.290487e+08,1.290384e+08,8.014222e-05,1.069622e+08,1.481705e-01,1.376886e-01,7.074241e-02,1.098711e-04,4.180487,3018
6.373740e+06,7.828372e+06,2.282227e-01,2.115954e+12,1.290487e+08,1.291095e+08,4.710579e-04,3.695354e+09,1.481705e-01,1.819007e-01,2.276444e-01,1.137726e-03,4.180487,3018
6.373740e+06,3.471816e+06,4.552937e-01,8.421162e+12,1.290487e+08,1.290593e+08,8.165269e-05,1.110321e+08,1.481705e-01,8.070283e-02,4.553382e-01,4.551891e-03,4.180487,3018
6.373740e+06,4.722995e+06,2.589916e-01,2.724960e+12,1.290487e+08,1.291172e+08,5.307296e-04,4.690878e+09,1.481705e-01,1.097374e-01,2.593847e-01,1.477109e-03,4.180487,3018
6.373740e+06,1.616403e+07,1.536036e+00,9.584986e+13,1.290487e+08,1.290164e+08,2.509454e-04,1.048736e+09,1.481705e-01,3.758601e-01,1.536673e+00,5.184255e-02,4.180487,3018
6.373740e+06,5.361025e+06,1.588886e-01,1.025591e+12,1.290487e+08,1.291152e+08,5.153965e-04,4.423748e+09,1.481705e-01,1.245637e-01,1.593219e-01,5.572816e-04,4.180487,3018
6.373740e+06,2.350009e+06,6.312983e-01,1.619041e+13,1.290487e+08,1.290491e+08,2.448651e-06,9.985307e+04,1.481705e-01,5.463059e-02,6.312992e-01,8.749721e-03,4.180487,3018
6.373740e+06,1.359392e+06,7.867199e-01,2.514369e+13,1.290487e+08,1.292067e+08,1.224012e-03,2.495049e+10,1.481705e-01,3.156319e-02,7.869807e-01,1.359727e-02,4.180487,3018
6.373740e+06,6.157734e+06,3.388998e-02,4.665855e+10,1.290487e+08,1.289660e+08,6.409954e-04,6.842540e+09,1.481705e-01,1.432409e-01,3.327031e-02,2.430174e-05,4.180487,3018
6.373740e+06,5.185486e+06,1.864297e-01,1.411949e+12,1.290487e+08,1.290397e+08,6.975853e-05,8.104050e+07,1.481705e-01,1.205556e-01,1.863729e-01,7.625870e-04,4.180487,3018
6.373740e+06,-2.800044e+05,1.043931e+00,4.427231e+13,1.290487e+08,1.291149e+08,5.126616e-04,4.376925e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,4.713315e+06,2.605103e-01,2.757012e+12,1.290487e+08,1.290915e+08,3.312671e-04,1.827528e+09,1.481705e-01,1.095343e-01,2.607552e-01,1.492759e-03,4.180487,3018
6.373740e+06,2.948684e+06,5.373699e-01,1.173101e+13,1.290487e+08,1.289588e+08,6.972160e-04,8.095471e+09,1.481705e-01,6.859598e-02,5.370471e-01,6.332109e-03,4.180487,3018
6.373740e+06,8.196474e+06,2.859755e-01,3.322358e+12,1.290487e+08,1.289639e+08,6.577472e-04,7.204860e+09,1.481705e-01,1.906691e-01,2.868219e-01,1.806127e-03,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,5.247677e-01,1.772187e+13
2-stars,3.749574e-04,3.829008e+09
Clst,5.216135e-01,9.436846e-03
