#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,1.005700e+07,5.778812e-01,1.356644e+13,1.290487e+08,1.290876e+08,3.015462e-04,1.514311e+09,1.481705e-01,2.337250e-01,5.774055e-01,7.319570e-03,4.180487,3018
6.373740e+06,-6.904639e+06,2.083295e+00,1.763154e+14,1.290487e+08,1.290823e+08,2.604070e-04,1.129309e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,9.835119e+05,8.456931e-01,2.905456e+13,1.290487e+08,1.290708e+08,1.712206e-04,4.882245e+08,1.481705e-01,2.285982e-02,8.457195e-01,1.570278e-02,4.180487,3018
6.373740e+06,3.003258e+06,5.288076e-01,1.136015e+13,1.290487e+08,1.289929e+08,4.323168e-04,3.112518e+09,1.481705e-01,6.984703e-02,5.286038e-01,6.134572e-03,4.180487,3018
6.373740e+06,1.665282e+07,1.612723e+00,1.056595e+14,1.290487e+08,1.290556e+08,5.292256e-05,4.664330e+07,1.481705e-01,3.871081e-01,1.612585e+00,5.709116e-02,4.180487,3018
6.373740e+06,6.432658e+06,9.243817e-03,3.471294e+09,1.290487e+08,1.290246e+08,1.869518e-04,5.820584e+08,1.481705e-01,1.495682e-01,9.432532e-03,1.953351e-06,4.180487,3018
6.373740e+06,2.475065e+07,2.883222e+00,3.377108e+14,1.290487e+08,1.289482e+08,7.794328e-04,1.011731e+10,1.481705e-01,5.758280e-01,2.886252e+00,1.828909e-01,4.180487,3018
6.373740e+06,4.066617e+06,3.619732e-01,5.322817e+12,1.290487e+08,1.290453e+08,2.656990e-05,1.175675e+07,1.481705e-01,9.453928e-02,3.619562e-01,2.876311e-03,4.180487,3018
6.373740e+06,1.153045e+07,8.090563e-01,2.659171e+13,1.290487e+08,1.290462e+08,2.002299e-05,6.676753e+06,1.481705e-01,2.680542e-01,8.090925e-01,1.437210e-02,4.180487,3018
6.373740e+06,1.752362e+07,1.749346e+00,1.243198e+14,1.290487e+08,1.290793e+08,2.367438e-04,9.333937e+08,1.481705e-01,4.072757e-01,1.748695e+00,6.713547e-02,4.180487,3018
6.373740e+06,-3.546489e+05,1.055642e+00,4.527122e+13,1.290487e+08,1.290868e+08,2.953006e-04,1.452233e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,-1.583728e+06,1.248477e+00,6.332130e+13,1.290487e+08,1.291037e+08,4.262455e-04,3.025709e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.329447e+07,1.085820e+00,4.789653e+13,1.290487e+08,1.290957e+08,3.640204e-04,2.206780e+09,1.481705e-01,3.089445e-01,1.085061e+00,2.584828e-02,4.180487,3018
6.373740e+06,5.692529e+06,1.068777e-01,4.640480e+11,1.290487e+08,1.290263e+08,1.738900e-04,5.035662e+08,1.481705e-01,1.323574e-01,1.067224e-01,2.500545e-04,4.180487,3018
6.373740e+06,1.430941e+07,1.245058e+00,6.297493e+13,1.290487e+08,1.291099e+08,4.738650e-04,3.739528e+09,1.481705e-01,3.324939e-01,1.243994e+00,3.397509e-02,4.180487,3018
6.373740e+06,1.003224e+07,5.739961e-01,1.338464e+13,1.290487e+08,1.290352e+08,1.044966e-04,1.818493e+08,1.481705e-01,2.332442e-01,5.741606e-01,7.237531e-03,4.180487,3018
6.373740e+06,-9.192830e+06,2.442298e+00,2.423181e+14,1.290487e+08,1.289686e+08,6.213088e-04,6.428690e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,7.014264e+06,1.004942e-01,4.102712e+11,1.290487e+08,1.291089e+08,4.661998e-04,3.619526e+09,1.481705e-01,1.629848e-01,9.998143e-02,2.194635e-04,4.180487,3018
6.373740e+06,-4.153936e+04,1.006517e+00,4.115581e+13,1.290487e+08,1.290547e+08,4.617475e-05,3.550722e+07,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.258547e+07,9.745824e-01,3.858565e+13,1.290487e+08,1.290772e+08,2.205095e-04,8.097707e+08,1.481705e-01,2.925104e-01,9.741471e-01,2.083401e-02,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,1.065050e+00,6.928435e+13
2-stars,2.830073e-04,1.997268e+09
Clst,9.231904e-01,2.758309e-02
