#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,-7.620360e+05,1.119559e+00,5.091930e+13,1.290487e+08,1.290422e+08,5.058002e-05,4.260548e+07,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,8.710051e+06,3.665526e-01,5.458349e+12,1.290487e+08,1.290731e+08,1.889020e-04,5.942655e+08,1.481705e-01,2.024446e-01,3.662945e-01,2.945673e-03,4.180487,3018
6.373740e+06,-2.506554e+07,4.932626e+00,9.884280e+14,1.290487e+08,1.289901e+08,4.546207e-04,3.441961e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,2.211574e+07,2.469821e+00,2.478105e+14,1.290487e+08,1.290205e+08,2.188956e-04,7.979607e+08,1.481705e-01,5.142379e-01,2.470581e+00,1.340053e-01,4.180487,3018
6.373740e+06,5.180433e+07,7.127775e+00,2.063938e+15,1.290487e+08,1.289836e+08,5.048053e-04,4.243805e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,-3.748984e+07,6.881921e+00,1.924013e+15,1.290487e+08,1.290468e+08,1.531304e-05,3.905081e+06,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,9.047240e+05,8.580545e-01,2.991014e+13,1.290487e+08,1.290384e+08,8.014222e-05,1.069622e+08,1.481705e-01,2.103383e-02,8.580431e-01,1.616374e-02,4.180487,3018
6.373740e+06,4.421419e+07,5.936930e+00,1.431899e+15,1.290487e+08,1.291095e+08,4.710579e-04,3.695354e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,5.364687e+07,7.416859e+00,2.234749e+15,1.290487e+08,1.290593e+08,8.165269e-05,1.110321e+08,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,-9.654876e+06,2.514790e+00,2.569165e+14,1.290487e+08,1.291172e+08,5.307296e-04,4.690878e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,8.512635e+06,3.355793e-01,4.574872e+12,1.290487e+08,1.290164e+08,2.509454e-04,1.048736e+09,1.481705e-01,1.979432e-01,3.359145e-01,2.477315e-03,4.180487,3018
6.373740e+06,-8.857498e+06,2.389686e+00,2.319906e+14,1.290487e+08,1.291152e+08,5.153965e-04,4.423748e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.335430e+07,1.095206e+00,4.872815e+13,1.290487e+08,1.290491e+08,2.448651e-06,9.985307e+04,1.481705e-01,3.104470e-01,1.095200e+00,2.633364e-02,4.180487,3018
6.373740e+06,-4.498725e+07,8.058219e+00,2.637951e+15,1.290487e+08,1.292067e+08,1.224012e-03,2.495049e+10,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,5.453659e+06,1.443549e-01,8.465489e+11,1.290487e+08,1.289660e+08,6.409954e-04,6.842540e+09,1.481705e-01,1.268627e-01,1.438061e-01,4.540237e-04,4.180487,3018
6.373740e+06,-4.857182e+06,1.762062e+00,1.261336e+14,1.290487e+08,1.290397e+08,6.975853e-05,8.104050e+07,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.600535e+06,7.488860e-01,2.278348e+13,1.290487e+08,1.291149e+08,5.126616e-04,4.376925e+09,1.481705e-01,3.718863e-02,7.490147e-01,1.231698e-02,4.180487,3018
6.373740e+06,1.314406e+07,1.062221e+00,4.583720e+13,1.290487e+08,1.290915e+08,3.312671e-04,1.827528e+09,1.481705e-01,3.054591e-01,1.061538e+00,2.473970e-02,4.180487,3018
6.373740e+06,-7.118552e+06,2.116856e+00,1.820419e+14,1.290487e+08,1.289588e+08,6.972160e-04,8.095471e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.924493e+07,2.019409e+00,1.656674e+14,1.290487e+08,1.289639e+08,6.577472e-04,7.204860e+09,1.481705e-01,4.476819e-01,2.021396e+00,8.970703e-02,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,2.967868e+00,6.350299e+14
2-stars,3.749574e-04,3.829008e+09
Clst,1.717436e+00,1.330810e-01
