#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,1.872232e+07,1.937415e+00,1.524874e+14,1.290487e+08,1.290876e+08,3.015462e-04,1.514311e+09,1.481705e-01,4.351071e-01,1.936529e+00,8.233261e-02,4.180487,3018
6.373740e+06,-4.393061e+07,7.892439e+00,2.530528e+15,1.290487e+08,1.290823e+08,2.604070e-04,1.129309e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,-7.320358e+07,1.248518e+01,6.332550e+15,1.290487e+08,1.290708e+08,1.712206e-04,4.882245e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,2.221335e+07,2.485135e+00,2.508931e+14,1.290487e+08,1.289929e+08,4.323168e-04,3.112518e+09,1.481705e-01,5.166177e-01,2.486643e+00,1.357533e-01,4.180487,3018
6.373740e+06,8.612284e+07,1.251214e+01,6.359919e+15,1.290487e+08,1.290556e+08,5.292256e-05,4.664330e+07,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,5.697553e+07,7.939105e+00,2.560541e+15,1.290487e+08,1.290246e+08,1.869518e-04,5.820584e+08,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,-6.905096e+07,1.183366e+01,5.688886e+15,1.290487e+08,1.289482e+08,7.794328e-04,1.011731e+10,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,8.797397e+07,1.280257e+01,6.658597e+15,1.290487e+08,1.290453e+08,2.656990e-05,1.175675e+07,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,-8.107155e+06,2.271962e+00,2.096963e+14,1.290487e+08,1.290462e+08,2.002299e-05,6.676753e+06,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,3.192112e+07,4.008224e+00,6.526685e+14,1.290487e+08,1.290793e+08,2.367438e-04,9.333937e+08,1.481705e-01,7.418956e-01,4.007039e+00,3.525094e-01,4.180487,3018
6.373740e+06,1.575080e+08,2.371202e+01,2.284157e+16,1.290487e+08,1.290868e+08,2.953006e-04,1.452233e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,2.894198e+07,3.540816e+00,5.093255e+14,1.290487e+08,1.291037e+08,4.262455e-04,3.025709e+09,1.481705e-01,6.725285e-01,3.538881e+00,2.749512e-01,4.180487,3018
6.373740e+06,7.994408e+07,1.154273e+01,5.412596e+15,1.290487e+08,1.290957e+08,3.640204e-04,2.206780e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,-4.125690e+07,7.472951e+00,2.268678e+15,1.290487e+08,1.290263e+08,1.738900e-04,5.035662e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,6.734981e+07,9.566764e+00,3.718081e+15,1.290487e+08,1.291099e+08,4.738650e-04,3.739528e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,-1.001753e+07,2.571688e+00,2.686738e+14,1.290487e+08,1.290352e+08,1.044966e-04,1.818493e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.309599e+06,7.945321e-01,2.564553e+13,1.290487e+08,1.289686e+08,6.213088e-04,6.428690e+09,1.481705e-01,3.046321e-02,7.944044e-01,1.385501e-02,4.180487,3018
6.373740e+06,1.361938e+08,2.036795e+01,1.685324e+16,1.290487e+08,1.291089e+08,4.661998e-04,3.619526e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,4.180487,3018
6.373740e+06,-3.382794e+07,6.307392e+00,1.616175e+15,1.290487e+08,1.290547e+08,4.617475e-05,3.550722e+07,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,-2.006061e+06,1.314738e+00,7.022106e+13,1.290487e+08,1.290772e+08,2.205095e-04,8.097707e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,8.167971e+00,4.249048e+15
2-stars,2.830073e-04,1.997268e+09
Clst,3.050318e+00,3.057166e-01
