#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,9.274050e+06,4.550405e-01,8.411796e+12,1.290487e+08,1.290876e+08,3.015462e-04,1.514311e+09,1.481705e-01,2.155291e-01,4.546018e-01,4.537181e-03,4.180487,3018
6.373740e+06,1.374750e+07,1.156896e+00,5.437228e+13,1.290487e+08,1.290823e+08,2.604070e-04,1.129309e+09,1.481705e-01,3.195053e-01,1.156335e+00,2.935559e-02,4.180487,3018
6.373740e+06,1.787564e+07,1.804577e+00,1.322938e+14,1.290487e+08,1.290708e+08,1.712206e-04,4.882245e+08,1.481705e-01,4.154845e-01,1.804097e+00,7.145676e-02,4.180487,3018
6.373740e+06,1.071030e+06,8.319620e-01,2.811873e+13,1.290487e+08,1.289929e+08,4.323168e-04,3.112518e+09,1.481705e-01,2.490904e-02,8.318894e-01,1.519339e-02,4.180487,3018
6.373740e+06,9.271595e+06,4.546554e-01,8.397565e+12,1.290487e+08,1.290556e+08,5.292256e-05,4.664330e+07,1.481705e-01,2.155257e-01,4.545784e-01,4.536713e-03,4.180487,3018
6.373740e+06,2.456957e+07,2.854813e+00,3.310883e+14,1.290487e+08,1.290246e+08,1.869518e-04,5.820584e+08,1.481705e-01,5.712764e-01,2.855533e+00,1.790186e-01,4.180487,3018
6.373740e+06,-5.318581e+06,1.834452e+00,1.367104e+14,1.290487e+08,1.289482e+08,7.794328e-04,1.011731e+10,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,2.949682e+06,5.372133e-01,1.172417e+13,1.290487e+08,1.290453e+08,2.656990e-05,1.175675e+07,1.481705e-01,6.857318e-02,5.372010e-01,6.335739e-03,4.180487,3018
6.373740e+06,1.083463e+07,6.998866e-01,1.989958e+13,1.290487e+08,1.290462e+08,2.002299e-05,6.676753e+06,1.481705e-01,2.518781e-01,6.999206e-01,1.075527e-02,4.180487,3018
6.373740e+06,2.755107e+06,5.677409e-01,1.309451e+13,1.290487e+08,1.290793e+08,2.367438e-04,9.333937e+08,1.481705e-01,6.403290e-02,5.678432e-01,7.079142e-03,4.180487,3018
6.373740e+06,1.545661e+07,1.425045e+00,8.249844e+13,1.290487e+08,1.290868e+08,2.953006e-04,1.452233e+09,1.481705e-01,3.592141e-01,1.424329e+00,4.453939e-02,4.180487,3018
6.373740e+06,2.505385e+07,2.930792e+00,3.489464e+14,1.290487e+08,1.291037e+08,4.262455e-04,3.025709e+09,1.481705e-01,5.821794e-01,2.929117e+00,1.883637e-01,4.180487,3018
6.373740e+06,9.477392e+06,4.869436e-01,9.632656e+12,1.290487e+08,1.290957e+08,3.640204e-04,2.206780e+09,1.481705e-01,2.202411e-01,4.864025e-01,5.194161e-03,4.180487,3018
6.373740e+06,-1.638749e+07,3.571095e+00,5.180735e+14,1.290487e+08,1.290263e+08,1.738900e-04,5.035662e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,6.381470e+05,8.998787e-01,3.289703e+13,1.290487e+08,1.291099e+08,4.738650e-04,3.739528e+09,1.481705e-01,1.482800e-02,8.999261e-01,1.778023e-02,4.180487,3018
6.373740e+06,4.430389e+06,3.048997e-01,3.776614e+12,1.290487e+08,1.290352e+08,1.044966e-04,1.818493e+08,1.481705e-01,1.030042e-01,3.048270e-01,2.040002e-03,4.180487,3018
6.373740e+06,1.000090e+07,5.690789e-01,1.315629e+13,1.290487e+08,1.289686e+08,6.213088e-04,6.428690e+09,1.481705e-01,2.326358e-01,5.700544e-01,7.134380e-03,4.180487,3018
6.373740e+06,9.203643e+06,4.439941e-01,8.008351e+12,1.290487e+08,1.291089e+08,4.661998e-04,3.619526e+09,1.481705e-01,2.138577e-01,4.433212e-01,4.314801e-03,4.180487,3018
6.373740e+06,6.936793e+06,8.833945e-02,3.170283e+11,1.290487e+08,1.290547e+08,4.617475e-05,3.550722e+07,1.481705e-01,1.612524e-01,8.828919e-02,1.711350e-04,4.180487,3018
6.373740e+06,-1.216102e+07,2.907988e+00,3.435374e+14,1.290487e+08,1.290772e+08,2.205095e-04,8.097707e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,1.241265e+00,1.052477e+14
2-stars,2.830073e-04,1.997268e+09
Clst,9.754133e-01,3.318349e-02
