#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,7.657513e+06,2.014159e-01,1.648072e+12,1.290487e+08,1.290876e+08,3.015462e-04,1.514311e+09,1.481705e-01,1.779608e-01,2.010538e-01,8.874585e-04,3.899387,3018
6.373740e+06,4.448129e+06,3.021164e-01,3.707978e+12,1.290487e+08,1.290823e+08,2.604070e-04,1.129309e+09,1.481705e-01,1.033789e-01,3.022981e-01,2.006293e-03,3.899387,3018
6.373740e+06,-3.224997e+07,6.059819e+00,1.491791e+15,1.290487e+08,1.290708e+08,1.712206e-04,4.882245e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,2.297088e+06,6.396012e-01,1.661909e+13,1.290487e+08,1.289929e+08,4.323168e-04,3.112518e+09,1.481705e-01,5.342357e-02,6.394454e-01,8.976987e-03,3.899387,3018
6.373740e+06,8.581577e+07,1.246396e+01,6.311037e+15,1.290487e+08,1.290556e+08,5.292256e-05,4.664330e+07,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,5.125222e+07,7.041153e+00,2.014078e+15,1.290487e+08,1.290246e+08,1.869518e-04,5.820584e+08,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,5.252114e+06,1.759761e-01,1.258045e+12,1.290487e+08,1.289482e+08,7.794328e-04,1.011731e+10,1.481705e-01,1.221913e-01,1.753334e-01,6.749208e-04,3.899387,3018
6.373740e+06,1.433482e+07,1.249043e+00,6.337875e+13,1.290487e+08,1.290453e+08,2.656990e-05,1.175675e+07,1.481705e-01,3.332508e-01,1.249103e+00,3.425470e-02,3.899387,3018
6.373740e+06,1.371941e+07,1.152490e+00,5.395891e+13,1.290487e+08,1.290462e+08,2.002299e-05,6.676753e+06,1.481705e-01,3.189420e-01,1.152533e+00,2.916290e-02,3.899387,3018
6.373740e+06,5.635230e+06,1.158676e-01,5.453968e+11,1.290487e+08,1.290793e+08,2.367438e-04,9.333937e+08,1.481705e-01,1.309714e-01,1.160768e-01,2.958114e-04,3.899387,3018
6.373740e+06,-1.232340e+08,2.033464e+01,1.679816e+16,1.290487e+08,1.290868e+08,2.953006e-04,1.452233e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,1.024219e+08,1.506935e+01,9.225240e+15,1.290487e+08,1.291037e+08,4.262455e-04,3.025709e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,9.978615e+07,1.465582e+01,8.725879e+15,1.290487e+08,1.290957e+08,3.640204e-04,2.206780e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,3.568368e+07,4.598547e+00,8.590729e+14,1.290487e+08,1.290263e+08,1.738900e-04,5.035662e+08,1.481705e-01,8.296840e-01,4.599521e+00,4.644606e-01,3.899387,3018
6.373740e+06,1.205544e+08,1.791423e+01,1.303722e+16,1.290487e+08,1.291099e+08,4.738650e-04,3.739528e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,1.409467e+07,1.211366e+00,5.961281e+13,1.290487e+08,1.290352e+08,1.044966e-04,1.818493e+08,1.481705e-01,3.276935e-01,1.211597e+00,3.222851e-02,3.899387,3018
6.373740e+06,-1.831026e+07,3.872766e+00,6.093001e+14,1.290487e+08,1.289686e+08,6.213088e-04,6.428690e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,6.843841e+07,9.737559e+00,3.852023e+15,1.290487e+08,1.291089e+08,4.661998e-04,3.619526e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,3.957365e+07,5.208859e+00,1.102234e+15,1.290487e+08,1.290547e+08,4.617475e-05,3.550722e+07,1.481705e-01,9.199275e-01,5.208572e+00,5.956088e-01,3.899387,3018
6.373740e+06,4.136842e+07,5.490447e+00,1.224628e+15,1.290487e+08,1.290772e+08,2.205095e-04,8.097707e+08,1.481705e-01,9.614810e-01,5.489016e+00,6.614738e-01,3.899387,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,6.374751e+00,3.272569e+15
2-stars,2.830073e-04,1.997268e+09
Clst,2.891922e+00,3.124787e-01
