#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,-4.945088e+09,7.768534e+02,2.451697e+19,1.290487e+08,1.290876e+08,3.015462e-04,1.514311e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,1.037608e+10,1.626943e+03,1.075309e+20,1.290487e+08,1.290823e+08,2.604070e-04,1.129309e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,3.687165e+09,5.774931e+02,1.354822e+19,1.290487e+08,1.290708e+08,1.712206e-04,4.882245e+08,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,5.705830e+09,8.942090e+02,3.248380e+19,1.290487e+08,1.289929e+08,4.323168e-04,3.112518e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,-8.981284e+09,1.410107e+03,8.077799e+19,1.290487e+08,1.290556e+08,5.292256e-05,4.664330e+07,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,-1.183664e+10,1.858094e+03,1.402569e+20,1.290487e+08,1.290246e+08,1.869518e-04,5.820584e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,3.759413e+09,5.888284e+02,1.408530e+19,1.290487e+08,1.289482e+08,7.794328e-04,1.011731e+10,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,4.498308e+09,7.047564e+02,2.017747e+19,1.290487e+08,1.290453e+08,2.656990e-05,1.175675e+07,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,1.943210e+09,3.038776e+02,3.751336e+18,1.290487e+08,1.290462e+08,2.002299e-05,6.676753e+06,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,6.131775e+08,9.520372e+01,3.682108e+17,1.290487e+08,1.290793e+08,2.367438e-04,9.333937e+08,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,2.458612e+10,3.856408e+03,6.041637e+20,1.290487e+08,1.290868e+08,2.953006e-04,1.452233e+09,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,-1.254017e+10,1.968475e+03,1.574158e+20,1.290487e+08,1.291037e+08,4.262455e-04,3.025709e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,-3.137377e+09,4.932349e+02,9.883171e+18,1.290487e+08,1.290957e+08,3.640204e-04,2.206780e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,-1.272664e+10,1.997731e+03,1.621297e+20,1.290487e+08,1.290263e+08,1.738900e-04,5.035662e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,-7.825612e+09,1.228790e+03,6.134000e+19,1.290487e+08,1.291099e+08,4.738650e-04,3.739528e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,5.826551e+09,9.131495e+02,3.387446e+19,1.290487e+08,1.290352e+08,1.044966e-04,1.818493e+08,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
6.373740e+06,-1.169239e+10,1.835463e+03,1.368611e+20,1.290487e+08,1.289686e+08,6.213088e-04,6.428690e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,-4.669690e+09,7.336452e+02,2.186557e+19,1.290487e+08,1.291089e+08,4.661998e-04,3.619526e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,-1.111033e+09,1.753142e+02,1.248598e+18,1.290487e+08,1.290547e+08,4.617475e-05,3.550722e+07,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,3.899387,3018
6.373740e+06,2.784217e+08,4.268263e+01,7.401010e+16,1.290487e+08,1.290772e+08,2.205095e-04,8.097707e+08,1.481705e-01,1.000000e+00,5.748980e+00,7.256134e-01,3.899387,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,1.104063e+03,8.131767e+19
2-stars,2.830073e-04,1.997268e+09
Clst,3.374490e+00,3.737840e-01
