#4cyc(true),#4cyc(est),#4cyc(rel-err),#4cyc(l2-loss),EpsL,max_deg
1.498908e+09,1.744423e+09,1.637961e-01,6.027776e+16,4.180487,3018
1.498908e+09,6.944611e+08,5.366887e-01,6.471349e+17,4.180487,3018
1.498908e+09,1.021682e+09,3.183826e-01,2.277449e+17,4.180487,3018
1.498908e+09,7.658982e+08,4.890292e-01,5.373034e+17,4.180487,3018
1.498908e+09,7.153273e+08,5.227677e-01,6.139987e+17,4.180487,3018
1.498908e+09,1.859853e+09,2.408056e-01,1.302816e+17,4.180487,3018
1.498908e+09,1.292783e+09,1.375171e-01,4.248770e+16,4.180487,3018
1.498908e+09,1.882615e+09,2.559912e-01,1.472313e+17,4.180487,3018
1.498908e+09,7.417203e+08,5.051596e-01,5.733332e+17,4.180487,3018
1.498908e+09,7.993471e+08,4.667137e-01,4.893854e+17,4.180487,3018
1.498908e+09,1.350627e+09,9.892612e-02,2.198730e+16,4.180487,3018
1.498908e+09,9.218498e+08,3.849857e-01,3.329962e+17,4.180487,3018
1.498908e+09,1.520330e+09,1.429177e-02,4.589040e+14,4.180487,3018
1.498908e+09,9.094768e+08,3.932404e-01,3.474291e+17,4.180487,3018
1.498908e+09,1.553547e+09,3.645226e-02,2.985374e+15,4.180487,3018
1.498908e+09,1.137481e+09,2.411267e-01,1.306293e+17,4.180487,3018
1.498908e+09,7.120818e+08,5.249330e-01,6.190955e+17,4.180487,3018
1.498908e+09,1.686868e+09,1.253982e-01,3.532909e+16,4.180487,3018
1.498908e+09,9.245442e+08,3.831881e-01,3.298937e+17,4.180487,3018
1.498908e+09,1.154765e+09,2.295955e-01,1.184341e+17,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
4-cycles,3.034495e-01,2.704209e+17
