#4cyc(true),#4cyc(est),#4cyc(rel-err),#4cyc(l2-loss),EpsL,max_deg
1.498908e+09,1.148688e+10,6.663499e+00,9.975958e+19,3.899387,3018
1.498908e+09,-1.861463e+10,1.341879e+01,4.045543e+20,3.899387,3018
1.498908e+09,-1.200297e+10,9.007813e+00,1.823008e+20,3.899387,3018
1.498908e+09,-1.237628e+09,1.825687e+00,7.488631e+18,3.899387,3018
1.498908e+09,-4.329294e+09,3.888299e+00,3.396794e+19,3.899387,3018
1.498908e+09,2.314105e+09,5.438609e-01,6.645469e+17,3.899387,3018
1.498908e+09,-2.916338e+09,2.945642e+00,1.949440e+19,3.899387,3018
1.498908e+09,1.207112e+10,7.053274e+00,1.117716e+20,3.899387,3018
1.498908e+09,3.832583e+09,1.556917e+00,5.446038e+18,3.899387,3018
1.498908e+09,1.264552e+09,1.563511e-01,5.492268e+16,3.899387,3018
1.498908e+09,1.487341e+10,8.922830e+00,1.788773e+20,3.899387,3018
1.498908e+09,1.930427e+10,1.187889e+01,3.170308e+20,3.899387,3018
1.498908e+09,1.305182e+10,7.707555e+00,1.334699e+20,3.899387,3018
1.498908e+09,-1.049489e+10,8.001694e+00,1.438513e+20,3.899387,3018
1.498908e+09,-8.133820e+09,6.426497e+00,9.278944e+19,3.899387,3018
1.498908e+09,2.208586e+10,1.373463e+01,4.238226e+20,3.899387,3018
1.498908e+09,1.973304e+09,3.164942e-01,2.250512e+17,3.899387,3018
1.498908e+09,3.979955e+09,1.655236e+00,6.155595e+18,3.899387,3018
1.498908e+09,-6.919055e+09,5.616064e+00,7.086209e+19,3.899387,3018
1.498908e+09,3.831604e+09,1.556264e+00,5.441471e+18,3.899387,3018
function,AVG(rel-err),AVG(l2-loss)
4-cycles,5.643814e+00,1.119014e+20
