#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
5.747857e+06,8.894522e+06,5.474501e-01,9.901501e+12,1.203615e+08,1.203972e+08,2.960434e-04,1.269657e+09,1.432648e-01,2.216295e-01,5.469922e-01,6.141030e-03,4.180487,3018
5.747857e+06,-6.982296e+06,2.214765e+00,1.620568e+14,1.203615e+08,1.203947e+08,2.756846e-04,1.101033e+09,1.432648e-01,0.000000e+00,1.000000e+00,2.052481e-02,4.180487,3018
5.747857e+06,-3.391361e+05,1.059002e+00,3.705148e+13,1.203615e+08,1.203837e+08,1.843140e-04,4.921437e+08,1.432648e-01,0.000000e+00,1.000000e+00,2.052481e-02,4.180487,3018
5.747857e+06,2.761028e+06,5.196422e-01,8.921149e+12,1.203615e+08,1.203041e+08,4.768730e-04,3.294435e+09,1.432648e-01,6.885120e-02,5.194131e-01,5.537386e-03,4.180487,3018
5.747857e+06,1.509179e+07,1.625638e+00,8.730913e+13,1.203615e+08,1.203721e+08,8.758664e-05,1.111351e+08,1.432648e-01,3.761286e-01,1.625408e+00,5.422554e-02,4.180487,3018
5.747857e+06,4.965038e+06,1.361933e-01,6.128063e+11,1.203615e+08,1.203393e+08,1.844570e-04,4.929075e+08,1.432648e-01,1.237759e-01,1.360339e-01,3.798161e-04,4.180487,3018
5.747857e+06,2.369865e+07,3.123040e+00,3.222308e+14,1.203615e+08,1.202627e+08,8.213301e-04,9.772617e+09,1.432648e-01,5.911721e-01,3.126430e+00,2.006210e-01,4.180487,3018
5.747857e+06,2.931681e+06,4.899523e-01,7.930844e+12,1.203615e+08,1.203579e+08,2.991240e-05,1.296217e+07,1.432648e-01,7.307408e-02,4.899370e-01,4.926739e-03,4.180487,3018
5.747857e+06,1.193572e+07,1.076552e+00,3.828967e+13,1.203615e+08,1.203596e+08,1.611990e-05,3.764436e+06,1.432648e-01,2.975016e-01,1.076585e+00,2.378897e-02,4.180487,3018
5.747857e+06,1.543638e+07,1.685589e+00,9.386746e+13,1.203615e+08,1.203894e+08,2.314147e-04,7.758131e+08,1.432648e-01,3.846613e-01,1.684967e+00,5.827227e-02,4.180487,3018
5.747857e+06,-2.460047e+06,1.427994e+00,6.736968e+13,1.203615e+08,1.203995e+08,3.155186e-04,1.442199e+09,1.432648e-01,0.000000e+00,1.000000e+00,2.052481e-02,4.180487,3018
5.747857e+06,-1.778344e+06,1.309393e+00,5.664371e+13,1.203615e+08,1.204129e+08,4.271605e-04,2.643367e+09,1.432648e-01,0.000000e+00,1.000000e+00,2.052481e-02,4.180487,3018
5.747857e+06,1.217924e+07,1.118919e+00,4.136272e+13,1.203615e+08,1.204136e+08,4.324190e-04,2.708849e+09,1.432648e-01,3.034353e-01,1.118003e+00,2.565459e-02,4.180487,3018
5.747857e+06,7.373448e+06,2.828169e-01,2.642546e+12,1.203615e+08,1.203418e+08,1.634928e-04,3.872331e+08,1.432648e-01,1.838126e-01,2.830266e-01,1.644121e-03,4.180487,3018
5.747857e+06,1.326660e+07,1.308094e+00,5.653145e+13,1.203615e+08,1.204216e+08,4.990128e-04,3.607437e+09,1.432648e-01,3.305038e-01,1.306943e+00,3.505843e-02,4.180487,3018
5.747857e+06,8.314311e+06,4.465063e-01,6.586687e+12,1.203615e+08,1.203459e+08,1.301891e-04,2.455412e+08,1.432648e-01,2.072604e-01,4.466946e-01,4.095439e-03,4.180487,3018
5.747857e+06,-9.478053e+06,2.648972e+00,2.318283e+14,1.203615e+08,1.202826e+08,6.553959e-04,6.222756e+09,1.432648e-01,0.000000e+00,1.000000e+00,2.052481e-02,4.180487,3018
5.747857e+06,7.623258e+06,3.262784e-01,3.517130e+12,1.203615e+08,1.204244e+08,5.226137e-04,3.956735e+09,1.432648e-01,1.899098e-01,3.255856e-01,2.175752e-03,4.180487,3018
5.747857e+06,-7.641742e+05,1.132949e+00,4.240655e+13,1.203615e+08,1.203638e+08,1.873064e-05,5.082537e+06,1.432648e-01,0.000000e+00,1.000000e+00,2.052481e-02,4.180487,3018
5.747857e+06,9.607232e+06,6.714459e-01,1.489478e+13,1.203615e+08,1.203909e+08,2.437792e-04,8.609316e+08,1.432648e-01,2.394010e-01,6.710385e-01,9.242170e-03,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,1.157560e+00,6.459776e+13
2-stars,3.006024e-04,1.970330e+09
Clst,9.678529e-01,2.774560e-02
