#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
1.066839e+10,1.022067e+10,4.196747e-02,2.004581e+17,3.262039e+10,3.262117e+10,2.399874e-05,6.128513e+11,9.811406e-01,9.399420e-01,4.199046e-02,1.697320e-03,4.180487,5271
1.066839e+10,1.014018e+10,4.951167e-02,2.790058e+17,3.262039e+10,3.262090e+10,1.573189e-05,2.633541e+11,9.811406e-01,9.325480e-01,4.952662e-02,2.361238e-03,4.180487,5271
1.066839e+10,1.094785e+10,2.619443e-02,7.809369e+16,3.262039e+10,3.262051e+10,3.752999e-06,1.498770e+10,9.811406e-01,1.000000e+00,1.922195e-02,3.556782e-04,4.180487,5271
1.066839e+10,1.058163e+10,8.132456e-03,7.527342e+15,3.262039e+10,3.262066e+10,8.306726e-06,7.342399e+10,9.811406e-01,9.731534e-01,8.140695e-03,6.379483e-05,4.180487,5271
1.066839e+10,1.086071e+10,1.802669e-02,3.698536e+16,3.262039e+10,3.262055e+10,4.938721e-06,2.595417e+10,9.811406e-01,9.988223e-01,1.802166e-02,3.126453e-04,4.180487,5271
1.066839e+10,1.151575e+10,7.942651e-02,7.180077e+17,3.262039e+10,3.262029e+10,2.890458e-06,8.890200e+09,9.811406e-01,1.000000e+00,1.922195e-02,3.556782e-04,4.180487,5271
1.066839e+10,1.001874e+10,6.089528e-02,4.220515e+17,3.262039e+10,3.262008e+10,9.310204e-06,9.223517e+10,9.811406e-01,9.214023e-01,6.088654e-02,3.568659e-03,4.180487,5271
1.066839e+10,1.020627e+10,4.331763e-02,2.135638e+17,3.262039e+10,3.262057e+10,5.663634e-06,3.413253e+10,9.811406e-01,9.386346e-01,4.332305e-02,1.806760e-03,4.180487,5271
1.066839e+10,1.087224e+10,1.910709e-02,4.155155e+16,3.262039e+10,3.262046e+10,2.185022e-06,5.080308e+09,9.811406e-01,9.998851e-01,1.910486e-02,3.513584e-04,4.180487,5271
1.066839e+10,1.077626e+10,1.011045e-02,1.163426e+16,3.262039e+10,3.262079e+10,1.233975e-05,1.620282e+11,9.811406e-01,9.910481e-01,1.009798e-02,9.815935e-05,4.180487,5271
1.066839e+10,1.144675e+10,7.295863e-02,6.058310e+17,3.262039e+10,3.262076e+10,1.134185e-05,1.368819e+11,9.811406e-01,1.000000e+00,1.922195e-02,3.556782e-04,4.180487,5271
1.066839e+10,9.710226e+09,8.981373e-02,9.180866e+17,3.262039e+10,3.262054e+10,4.681850e-06,2.332455e+10,9.811406e-01,8.930165e-01,8.981800e-02,7.765853e-03,4.180487,5271
1.066839e+10,1.094618e+10,2.603826e-02,7.716533e+16,3.262039e+10,3.262017e+10,6.643158e-06,4.695992e+10,9.811406e-01,1.000000e+00,1.922195e-02,3.556782e-04,4.180487,5271
1.066839e+10,1.032526e+10,3.216373e-02,1.177419e+17,3.262039e+10,3.262100e+10,1.878478e-05,3.754833e+11,9.811406e-01,9.495656e-01,3.218191e-02,9.969794e-04,4.180487,5271
1.066839e+10,1.057558e+10,8.699952e-03,8.614536e+15,3.262039e+10,3.262047e+10,2.509395e-06,6.700642e+09,9.811406e-01,9.726022e-01,8.702440e-03,7.290285e-05,4.180487,5271
1.066839e+10,1.030071e+10,3.446465e-02,1.351904e+17,3.262039e+10,3.262033e+10,1.835960e-06,3.586779e+09,9.811406e-01,9.473276e-01,3.446288e-02,1.143314e-03,4.180487,5271
1.066839e+10,1.064815e+10,1.897447e-03,4.097673e+14,3.262039e+10,3.261980e+10,1.801543e-05,3.453564e+11,9.811406e-01,9.792965e-01,1.879465e-03,3.400407e-06,4.180487,5271
1.066839e+10,9.518761e+09,1.077607e-01,1.321659e+18,3.262039e+10,3.262078e+10,1.201473e-05,1.536054e+11,9.811406e-01,8.754016e-01,1.077715e-01,1.118072e-02,4.180487,5271
1.066839e+10,1.098915e+10,3.006572e-02,1.028824e+17,3.262039e+10,3.262074e+10,1.070495e-05,1.219405e+11,9.811406e-01,1.000000e+00,1.922195e-02,3.556782e-04,4.180487,5271
1.066839e+10,1.047061e+10,1.853901e-02,3.911753e+16,3.262039e+10,3.262040e+10,4.534183e-07,2.187642e+08,9.811406e-01,9.629508e-01,1.853946e-02,3.308693e-04,4.180487,5271
function,AVG(rel-err),AVG(l2-loss)
Triangles,3.895458e-02,2.667789e+17
2-stars,8.805184e-06,1.253498e+11
Clst,3.202786e-02,1.676619e-03
