#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
3.684600e+04,4.915826e+06,1.324155e+02,2.380445e+13,4.997120e+05,4.967413e+05,5.944735e-03,8.824792e+06,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,2.148680e+05,4.831514e+00,3.169182e+10,4.997120e+05,5.284000e+05,5.740901e-02,8.229996e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,6.544988e+05,1.676309e+01,3.814950e+11,4.997120e+05,4.697009e+05,6.005687e-02,9.006685e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,1.910829e+06,5.085987e+01,3.511812e+12,4.997120e+05,4.926354e+05,1.416139e-02,5.007847e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,2.540379e+06,6.794587e+01,6.267680e+12,4.997120e+05,4.635864e+05,7.229287e-02,1.305060e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,1.339665e+06,3.535849e+01,1.697337e+12,4.997120e+05,4.941909e+05,1.104862e-02,3.048284e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,9.164765e+06,2.477316e+02,8.331890e+13,4.997120e+05,4.892659e+05,2.090418e-02,1.091203e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,1.180973e+06,3.105159e+01,1.309026e+12,4.997120e+05,5.427067e+05,8.603904e-02,1.848548e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,8.631225e+05,2.242514e+01,6.827329e+11,4.997120e+05,5.114453e+05,2.348018e-02,1.376709e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,3.025342e+06,8.110774e+01,8.931107e+12,4.997120e+05,5.224829e+05,4.556800e-02,5.185129e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,1.886895e+06,5.021030e+01,3.422681e+12,4.997120e+05,5.247625e+05,5.012982e-02,6.275261e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,-7.057055e+05,2.015284e+01,5.513828e+11,4.997120e+05,5.486484e+05,9.792912e-02,2.394767e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,4.180487,161
3.684600e+04,3.778346e+06,1.015443e+02,1.399882e+13,4.997120e+05,5.197229e+05,4.004485e-02,4.004359e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,-5.809019e+05,1.676567e+01,3.816124e+11,4.997120e+05,5.856606e+05,1.719963e-01,7.387168e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,4.180487,161
3.684600e+04,-1.770487e+05,5.805099e+00,4.575093e+10,4.997120e+05,4.769032e+05,4.564383e-02,5.202399e+08,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,4.180487,161
3.684600e+04,2.776008e+06,7.434081e+01,7.503006e+12,4.997120e+05,4.998130e+05,2.021419e-04,1.020357e+04,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,7.121476e+05,1.832768e+01,4.560323e+11,4.997120e+05,5.257684e+05,5.214287e-02,6.789370e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,1.622072e+06,4.302302e+01,2.512942e+12,4.997120e+05,5.141604e+05,2.891353e-02,2.087574e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,4.180487,161
3.684600e+04,-4.019419e+06,1.100870e+02,1.645328e+13,4.997120e+05,4.406916e+05,1.181088e-01,3.483408e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,4.180487,161
3.684600e+04,-4.566709e+05,1.339404e+01,2.435589e+11,4.997120e+05,4.497137e+05,1.000542e-01,2.499830e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,4.180487,161
function,AVG(rel-err),AVG(l2-loss)
Triangles,5.720705e+01,8.775265e+12
2-stars,5.510352e-02,1.196652e+09
Clst,2.890544e+00,4.671258e-01
