#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
3.684600e+04,-6.022243e+06,1.644436e+02,3.671256e+13,4.997120e+05,5.583346e+05,1.173127e-01,3.436606e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,1.388569e+06,3.668574e+01,1.827155e+12,4.997120e+05,5.065698e+05,1.372353e-02,4.702960e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,-2.818574e+07,7.659606e+02,7.965142e+14,4.997120e+05,5.256872e+05,5.198028e-02,6.747094e+08,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,3.057314e+06,8.197546e+01,9.123226e+12,4.997120e+05,4.727017e+05,5.405178e-02,7.295575e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,7.850434e+07,2.129607e+03,6.157147e+15,4.997120e+05,5.211385e+05,4.287779e-02,4.590968e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,4.484893e+07,1.216200e+03,2.008123e+15,4.997120e+05,4.946405e+05,1.014877e-02,2.571972e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,6.352216e+06,1.713991e+02,3.988390e+13,4.997120e+05,4.170802e+05,1.653588e-01,6.828007e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,5.919644e+06,1.596591e+02,3.460731e+13,4.997120e+05,5.032618e+05,7.103595e-03,1.260074e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,1.753688e+07,4.749508e+02,3.062513e+14,4.997120e+05,4.939376e+05,1.155554e-02,3.334416e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,7.374604e+05,1.901467e+01,4.908605e+11,4.997120e+05,5.382138e+05,7.704791e-02,1.482386e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,-1.347622e+08,3.658446e+03,1.817079e+16,4.997120e+05,5.464889e+05,9.360782e-02,2.188083e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,9.076892e+07,2.462468e+03,8.232310e+15,4.997120e+05,5.387032e+05,7.802740e-02,1.520316e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,8.411161e+07,2.281788e+03,7.068566e+15,4.997120e+05,5.364037e+05,7.342572e-02,1.346282e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,3.794395e+07,1.028798e+03,1.436948e+15,4.997120e+05,5.165998e+05,3.379509e-02,2.851983e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,1.026099e+08,2.783830e+03,1.052122e+16,4.997120e+05,5.197165e+05,4.003202e-02,4.001793e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,1.104916e+07,2.988740e+02,1.212710e+14,4.997120e+05,4.870364e+05,2.536590e-02,1.606719e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,-2.011743e+07,5.469869e+02,4.061950e+14,4.997120e+05,4.452591e+05,1.089686e-01,2.965120e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,6.742570e+07,1.828933e+03,4.541258e+15,4.997120e+05,5.440571e+05,8.874128e-02,1.966486e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,4.575043e+07,1.240666e+03,2.089732e+15,4.997120e+05,4.901783e+05,1.907839e-02,9.089140e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,4.250467e+07,1.152576e+03,1.803516e+15,4.997120e+05,5.011105e+05,2.798517e-03,1.955669e+06,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
function,AVG(rel-err),AVG(l2-loss)
Triangles,1.125163e+03,3.189125e+15
2-stars,5.575007e-02,1.232712e+09
Clst,3.016581e+00,4.950055e-01
