#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
3.684600e+04,-6.316817e+09,1.714393e+05,3.990265e+19,4.997120e+05,5.583346e+05,1.173127e-01,3.436606e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,1.180701e+10,3.204410e+05,1.394045e+20,4.997120e+05,5.065698e+05,1.372353e-02,4.702960e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,3.328861e+09,9.034424e+04,1.108107e+19,4.997120e+05,5.256872e+05,5.198028e-02,6.747094e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,5.484038e+09,1.488357e+05,3.007427e+19,4.997120e+05,4.727017e+05,5.405178e-02,7.295575e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,-1.025449e+10,2.783076e+05,1.051552e+20,4.997120e+05,5.211385e+05,4.287779e-02,4.590968e+08,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,-1.165119e+10,3.162143e+05,1.357512e+20,4.997120e+05,4.946405e+05,1.014877e-02,2.571972e+07,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,4.714224e+09,1.279430e+05,2.222357e+19,4.997120e+05,4.170802e+05,1.653588e-01,6.828007e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,3.848474e+09,1.044465e+05,1.481047e+19,4.997120e+05,5.032618e+05,7.103595e-03,1.260074e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,1.475245e+09,4.003714e+04,2.176240e+18,4.997120e+05,4.939376e+05,1.155554e-02,3.334416e+07,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,-4.690750e+07,1.274069e+03,2.203771e+15,4.997120e+05,5.382138e+05,7.704791e-02,1.482386e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,2.333625e+10,6.333445e+05,5.445787e+20,4.997120e+05,5.464889e+05,9.360782e-02,2.188083e+09,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,-1.343263e+10,3.645623e+05,1.804365e+20,4.997120e+05,5.387032e+05,7.802740e-02,1.520316e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,-3.806228e+09,1.033020e+05,1.448765e+19,4.997120e+05,5.364037e+05,7.342572e-02,1.346282e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,-1.209603e+10,3.282872e+05,1.463149e+20,4.997120e+05,5.165998e+05,3.379509e-02,2.851983e+08,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,-8.388635e+09,2.276685e+05,7.036981e+19,4.997120e+05,5.197165e+05,4.003202e-02,4.001793e+08,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,7.034262e+09,1.909088e+05,4.948032e+19,4.997120e+05,4.870364e+05,2.536590e-02,1.606719e+08,2.212034e-01,1.000000e+00,3.520726e+00,6.065241e-01,3.899387,161
3.684600e+04,-1.133206e+10,3.075531e+05,1.284165e+20,4.997120e+05,4.452591e+05,1.089686e-01,2.965120e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,-3.946379e+09,1.071057e+05,1.557420e+19,4.997120e+05,5.440571e+05,8.874128e-02,1.966486e+09,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,-1.228191e+09,3.333408e+04,1.508543e+18,4.997120e+05,4.901783e+05,1.907839e-02,9.089140e+07,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
3.684600e+04,-5.036243e+07,1.367836e+03,2.540087e+15,4.997120e+05,5.011105e+05,2.798517e-03,1.955669e+06,2.212034e-01,0.000000e+00,1.000000e+00,4.893095e-02,3.899387,161
function,AVG(rel-err),AVG(l2-loss)
Triangles,1.948358e+05,8.258756e+19
2-stars,5.575007e-02,1.232712e+09
Clst,2.008290e+00,2.719682e-01
