#4cyc(true),#4cyc(est),#4cyc(rel-err),#4cyc(l2-loss),EpsL,max_deg
4.748560e+05,-1.868980e+08,3.945888e+02,3.510858e+16,4.180487,161
4.748560e+05,-2.758700e+08,5.819551e+02,7.636649e+16,4.180487,161
4.748560e+05,-2.570576e+07,5.513380e+01,6.854246e+14,4.180487,161
4.748560e+05,-3.633531e+08,7.661859e+02,1.323708e+17,4.180487,161
4.748560e+05,-3.817368e+08,8.049002e+02,1.460858e+17,4.180487,161
4.748560e+05,9.790434e+07,2.051769e+02,9.492504e+15,4.180487,161
4.748560e+05,-1.718088e+08,3.628124e+02,2.968166e+16,4.180487,161
4.748560e+05,9.415548e+07,1.972822e+02,8.776059e+15,4.180487,161
4.748560e+05,-3.574477e+08,7.537497e+02,1.281086e+17,4.180487,161
4.748560e+05,-3.638817e+08,7.672990e+02,1.327557e+17,4.180487,161
4.748560e+05,2.493491e+08,5.241047e+02,6.193841e+16,4.180487,161
4.748560e+05,2.212086e+07,4.558434e+01,4.685493e+14,4.180487,161
4.748560e+05,-9.646199e+07,2.041395e+02,9.396753e+15,4.180487,161
4.748560e+05,-2.628644e+08,5.545666e+02,6.934757e+16,4.180487,161
4.748560e+05,9.542851e+07,1.999631e+02,9.016196e+15,4.180487,161
4.748560e+05,-1.095196e+08,2.316376e+02,1.209879e+16,4.180487,161
4.748560e+05,-1.952112e+08,4.120956e+02,3.829303e+16,4.180487,161
4.748560e+05,1.726585e+08,3.626019e+02,2.964722e+16,4.180487,161
4.748560e+05,-2.351961e+08,4.962998e+02,5.554078e+16,4.180487,161
4.748560e+05,2.050479e+08,4.308107e+02,4.185012e+16,4.180487,161
function,AVG(rel-err),AVG(l2-loss)
4-cycles,4.175444e+02,5.135145e+16
