#4cyc(true),#4cyc(est),#4cyc(rel-err),#4cyc(l2-loss),EpsL,max_deg
4.748560e+05,1.004723e+10,2.115749e+04,1.009374e+20,3.899387,161
4.748560e+05,-1.951596e+10,4.109970e+04,3.808913e+20,3.899387,161
4.748560e+05,-1.420906e+10,2.992387e+04,2.019107e+20,3.899387,161
4.748560e+05,-2.162441e+09,4.554888e+03,4.678204e+18,3.899387,161
4.748560e+05,-4.861467e+09,1.023877e+04,2.363848e+19,3.899387,161
4.748560e+05,1.390507e+09,2.927271e+03,1.932190e+18,3.899387,161
4.748560e+05,-3.892129e+09,8.197440e+03,1.515236e+19,3.899387,161
4.748560e+05,1.017204e+10,2.142031e+04,1.034607e+20,3.899387,161
4.748560e+05,2.645783e+09,5.570758e+03,6.997653e+18,3.899387,161
4.748560e+05,-9.875488e+08,2.080680e+03,9.761907e+17,3.899387,161
4.748560e+05,1.328050e+10,2.796642e+04,1.763590e+20,3.899387,161
4.748560e+05,1.872960e+10,3.944169e+04,3.507800e+20,3.899387,161
4.748560e+05,1.119091e+10,2.356595e+04,1.252258e+20,3.899387,161
4.748560e+05,-1.190979e+10,2.508186e+04,1.418545e+20,3.899387,161
4.748560e+05,-1.014861e+10,2.137298e+04,1.030040e+20,3.899387,161
4.748560e+05,2.192244e+10,4.616550e+04,4.805726e+20,3.899387,161
4.748560e+05,1.219845e+09,2.567874e+03,1.486865e+18,3.899387,161
4.748560e+05,2.699385e+09,5.683639e+03,7.284116e+18,3.899387,161
4.748560e+05,-7.927272e+09,1.669505e+04,6.284917e+19,3.899387,161
4.748560e+05,1.260846e+09,2.654217e+03,1.588535e+18,3.899387,161
function,AVG(rel-err),AVG(l2-loss)
4-cycles,1.791832e+04,1.145790e+20
