#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
1.331374e+09,1.330954e+09,3.152218e-04,1.761297e+11,4.003837e+09,4.003731e+09,2.649544e-05,1.125369e+10,9.975734e-01,9.972854e-01,2.887341e-04,8.296325e-08,4.180487,2077
1.331374e+09,1.444490e+09,8.496195e-02,1.279526e+16,4.003837e+09,4.003959e+09,3.048854e-05,1.490137e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.616613e+09,2.142443e-01,8.136142e+16,4.003837e+09,4.003672e+09,4.118700e-05,2.719400e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.378928e+09,3.571820e-02,2.261410e+15,4.003837e+09,4.003977e+09,3.478751e-05,1.939990e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.333584e+09,1.660298e-03,4.886209e+12,4.003837e+09,4.003716e+09,3.037532e-05,1.479090e+10,9.975734e-01,9.992600e-01,1.690724e-03,2.844693e-06,4.180487,2077
1.331374e+09,1.378252e+09,3.521064e-02,2.197596e+15,4.003837e+09,4.003618e+09,5.470641e-05,4.797658e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.010103e+09,2.413078e-01,1.032150e+17,4.003837e+09,4.004031e+09,4.835115e-05,3.747714e+10,9.975734e-01,7.568146e-01,2.413445e-01,5.796481e-02,4.180487,2077
1.331374e+09,1.175626e+09,1.169826e-01,2.425732e+16,4.003837e+09,4.003910e+09,1.820900e-05,5.315266e+09,9.975734e-01,8.808586e-01,1.169987e-01,1.362234e-02,4.180487,2077
1.331374e+09,1.318177e+09,9.912144e-03,1.741547e+14,4.003837e+09,4.003690e+09,3.677623e-05,2.168140e+10,9.975734e-01,9.877216e-01,9.875731e-03,9.705731e-05,4.180487,2077
1.331374e+09,1.194112e+09,1.030979e-01,1.884083e+16,4.003837e+09,4.003696e+09,3.533852e-05,2.001933e+10,9.975734e-01,8.947573e-01,1.030662e-01,1.057116e-02,4.180487,2077
1.331374e+09,1.440333e+09,8.183974e-02,1.187213e+16,4.003837e+09,4.004341e+09,1.257605e-04,2.535369e+11,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.512108e+09,1.357501e-01,3.266484e+16,4.003837e+09,4.003972e+09,3.352268e-05,1.801484e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.610287e+09,2.094928e-01,7.779257e+16,4.003837e+09,4.003682e+09,3.874574e-05,2.406583e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.276283e+09,4.137873e-02,3.034970e+15,4.003837e+09,4.004013e+09,4.383371e-05,3.080132e+10,9.975734e-01,9.562532e-01,4.142075e-02,1.707362e-03,4.180487,2077
1.331374e+09,1.387219e+09,4.194515e-02,3.118627e+15,4.003837e+09,4.003944e+09,2.673063e-05,1.145437e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.448943e+09,8.830645e-02,1.382244e+16,4.003837e+09,4.003644e+09,4.823167e-05,3.729216e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.502523e+09,1.285504e-01,2.929187e+16,4.003837e+09,4.004057e+09,5.484348e-05,4.821730e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.289834e+09,3.120072e-02,1.725557e+15,4.003837e+09,4.003890e+09,1.307880e-05,2.742136e+09,9.975734e-01,9.664358e-01,3.121339e-02,9.695530e-04,4.180487,2077
1.331374e+09,1.340220e+09,6.644134e-03,7.824864e+13,4.003837e+09,4.003813e+09,6.098550e-06,5.962193e+08,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,4.180487,2077
1.331374e+09,1.235003e+09,7.238469e-02,9.287386e+15,4.003837e+09,4.003988e+09,3.757719e-05,2.263610e+10,9.975734e-01,9.253296e-01,7.241955e-02,5.219168e-03,4.180487,2077
function,AVG(rel-err),AVG(l2-loss)
Triangles,8.404520e-02,2.138983e+16
2-stars,3.925690e-05,3.346834e+10
Clst,3.225379e-02,4.510958e-03
