#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
1.331374e+09,1.239402e+09,6.908071e-02,8.458895e+15,4.003837e+09,4.003915e+09,1.929723e-05,5.969569e+09,9.975734e-01,9.286424e-01,6.909867e-02,4.751483e-03,3.899387,2077
1.331374e+09,1.307706e+09,1.777683e-02,5.601555e+14,4.003837e+09,4.003689e+09,3.700505e-05,2.195204e+10,9.975734e-01,9.798760e-01,1.774048e-02,3.131991e-04,3.899387,2077
1.331374e+09,1.631139e+09,2.251545e-01,8.985896e+16,4.003837e+09,4.003947e+09,2.747865e-05,1.210441e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.397942e+09,4.999965e-02,4.431329e+15,4.003837e+09,4.003524e+09,7.833594e-05,9.837279e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.388326e+09,4.277675e-02,3.243513e+15,4.003837e+09,4.003940e+09,2.552992e-05,1.044845e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.376963e+09,3.424245e-02,2.078403e+15,4.003837e+09,4.003964e+09,3.163282e-05,1.604090e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,9.394455e+08,2.943789e-01,1.536079e+17,4.003837e+09,4.003634e+09,5.082475e-05,4.140982e+10,9.975734e-01,7.039446e-01,2.943430e-01,8.621786e-02,3.899387,2077
1.331374e+09,1.208981e+09,9.193004e-02,1.498011e+16,4.003837e+09,4.003772e+09,1.627367e-05,4.245450e+09,9.975734e-01,9.058812e-01,9.191526e-02,8.407463e-03,3.899387,2077
1.331374e+09,1.506101e+09,1.312382e-01,3.052956e+16,4.003837e+09,4.003639e+09,4.943693e-05,3.917923e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.310919e+09,1.536398e-02,4.184154e+14,4.003837e+09,4.003846e+09,2.109545e-06,7.133959e+07,9.975734e-01,9.822446e-01,1.536606e-02,2.349712e-04,3.899387,2077
1.331374e+09,1.409961e+09,5.902673e-02,6.175861e+15,4.003837e+09,4.003917e+09,2.000101e-05,6.412935e+09,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.474175e+09,1.072586e-01,2.039219e+16,4.003837e+09,4.003903e+09,1.646202e-05,4.344293e+09,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.619730e+09,2.165855e-01,8.314937e+16,4.003837e+09,4.004287e+09,1.123224e-04,2.022485e+11,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.445743e+09,8.590294e-02,1.308025e+16,4.003837e+09,4.003853e+09,4.028296e-06,2.601331e+08,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.379567e+09,3.619799e-02,2.322571e+15,4.003837e+09,4.003709e+09,3.192687e-05,1.634051e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.476657e+09,1.091229e-01,2.110726e+16,4.003837e+09,4.003852e+09,3.662692e-06,2.150570e+08,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.640092e+09,2.318795e-01,9.530701e+16,4.003837e+09,4.003700e+09,3.419405e-05,1.874364e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.278218e+09,3.992548e-02,2.825532e+15,4.003837e+09,4.003958e+09,3.024593e-05,1.466516e+10,9.975734e-01,9.577158e-01,3.995451e-02,1.588625e-03,3.899387,2077
1.331374e+09,1.296258e+09,2.637569e-02,1.233127e+15,4.003837e+09,4.003825e+09,3.178712e-06,1.619776e+08,9.975734e-01,9.712648e-01,2.637260e-02,6.921425e-04,3.899387,2077
1.331374e+09,1.196141e+09,1.015741e-01,1.828798e+16,4.003837e+09,4.003821e+09,4.009224e-06,2.576757e+08,9.975734e-01,8.962494e-01,1.015705e-01,1.026655e-02,3.899387,2077
function,AVG(rel-err),AVG(l2-loss)
Triangles,9.928957e-02,2.860242e+16
2-stars,2.989778e-05,2.567219e+10
Clst,3.427756e-02,5.627148e-03
