#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
1.331374e+09,8.442698e+08,3.658658e-01,2.372704e+17,4.003837e+09,4.003915e+09,1.929723e-05,5.969569e+09,9.975734e-01,6.325832e-01,3.658780e-01,1.332178e-01,3.899387,2077
1.331374e+09,-9.746110e+09,8.320341e+00,1.227107e+20,4.003837e+09,4.003689e+09,3.700505e-05,2.195204e+10,9.975734e-01,0.000000e+00,1.000000e+00,9.951527e-01,3.899387,2077
1.331374e+09,4.119569e+09,2.094224e+00,7.774031e+18,4.003837e+09,4.003947e+09,2.747865e-05,1.210441e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,4.057653e+09,2.047719e+00,7.432598e+18,4.003837e+09,4.003524e+09,7.833594e-05,9.837279e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,4.229550e+08,6.823169e-01,8.252249e+17,4.003837e+09,4.003940e+09,2.552992e-05,1.044845e+10,9.975734e-01,3.169041e-01,6.823250e-01,4.633107e-01,3.899387,2077
1.331374e+09,1.004972e+10,6.548383e+00,7.600955e+19,4.003837e+09,4.003964e+09,3.163282e-05,1.604090e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,-9.910177e+09,8.443572e+00,1.263725e+20,4.003837e+09,4.003634e+09,5.082475e-05,4.140982e+10,9.975734e-01,0.000000e+00,1.000000e+00,9.951527e-01,3.899387,2077
1.331374e+09,-3.828467e+09,3.875576e+00,2.662396e+19,4.003837e+09,4.003772e+09,1.627367e-05,4.245450e+09,9.975734e-01,0.000000e+00,1.000000e+00,9.951527e-01,3.899387,2077
1.331374e+09,-4.502381e+09,4.381756e+00,3.403270e+19,4.003837e+09,4.003639e+09,4.943693e-05,3.917923e+10,9.975734e-01,0.000000e+00,1.000000e+00,9.951527e-01,3.899387,2077
1.331374e+09,6.731620e+09,4.056145e+00,2.916266e+19,4.003837e+09,4.003846e+09,2.109545e-06,7.133959e+07,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,1.430130e+10,9.741759e+00,1.682189e+20,4.003837e+09,4.003917e+09,2.000101e-05,6.412935e+09,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,-6.304595e+09,5.735405e+00,5.830802e+19,4.003837e+09,4.003903e+09,1.646202e-05,4.344293e+09,9.975734e-01,0.000000e+00,1.000000e+00,9.951527e-01,3.899387,2077
1.331374e+09,2.561561e+09,9.239980e-01,1.513360e+18,4.003837e+09,4.004287e+09,1.123224e-04,2.022485e+11,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,5.913118e+09,3.441366e+00,2.099238e+19,4.003837e+09,4.003853e+09,4.028296e-06,2.601331e+08,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,7.834076e+09,4.884205e+00,4.228514e+19,4.003837e+09,4.003709e+09,3.192687e-05,1.634051e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,-4.092763e+09,4.074090e+00,2.942126e+19,4.003837e+09,4.003852e+09,3.662692e-06,2.150570e+08,9.975734e-01,0.000000e+00,1.000000e+00,9.951527e-01,3.899387,2077
1.331374e+09,4.072659e+09,2.058990e+00,7.514643e+18,4.003837e+09,4.003700e+09,3.419405e-05,1.874364e+10,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
1.331374e+09,8.521994e+08,3.599098e-01,2.296082e+17,4.003837e+09,4.003958e+09,3.024593e-05,1.466516e+10,9.975734e-01,6.385176e-01,3.599292e-01,1.289210e-01,3.899387,2077
1.331374e+09,-1.090020e+10,9.187185e+00,1.496115e+20,4.003837e+09,4.003825e+09,3.178712e-06,1.619776e+08,9.975734e-01,0.000000e+00,1.000000e+00,9.951527e-01,3.899387,2077
1.331374e+09,8.597338e+09,5.457493e+00,5.279423e+19,4.003837e+09,4.003821e+09,4.009224e-06,2.576757e+08,9.975734e-01,1.000000e+00,2.432502e-03,5.888386e-06,3.899387,2077
function,AVG(rel-err),AVG(l2-loss)
Triangles,4.334015e+00,4.810351e+19
2-stars,2.989778e-05,2.567219e+10
Clst,4.216229e-01,3.845789e-01
