#4cyc(true),#4cyc(est),#4cyc(rel-err),#4cyc(l2-loss),EpsL,max_deg
1.994014e+12,1.953485e+12,2.032550e-02,1.642628e+21,4.180487,2077
1.994014e+12,2.177483e+12,9.200952e-02,3.366062e+22,4.180487,2077
1.994014e+12,2.288238e+12,1.475535e-01,8.656763e+22,4.180487,2077
1.994014e+12,2.302199e+12,1.545550e-01,9.497796e+22,4.180487,2077
1.994014e+12,2.039556e+12,2.283921e-02,2.074048e+21,4.180487,2077
1.994014e+12,2.018651e+12,1.235524e-02,6.069582e+20,4.180487,2077
1.994014e+12,1.990021e+12,2.002844e-03,1.594963e+19,4.180487,2077
1.994014e+12,1.896834e+12,4.873588e-02,9.443961e+21,4.180487,2077
1.994014e+12,1.799076e+12,9.776185e-02,3.800103e+22,4.180487,2077
1.994014e+12,1.994736e+12,3.620013e-04,5.210469e+17,4.180487,2077
1.994014e+12,1.857818e+12,6.830248e-02,1.854939e+22,4.180487,2077
1.994014e+12,1.935585e+12,2.930219e-02,3.413948e+21,4.180487,2077
1.994014e+12,1.911479e+12,4.139161e-02,6.812102e+21,4.180487,2077
1.994014e+12,1.954030e+12,2.005204e-02,1.598725e+21,4.180487,2077
1.994014e+12,2.095752e+12,5.102174e-02,1.035064e+22,4.180487,2077
1.994014e+12,2.178172e+12,9.235539e-02,3.391416e+22,4.180487,2077
1.994014e+12,2.048469e+12,2.730892e-02,2.965278e+21,4.180487,2077
1.994014e+12,1.875774e+12,5.929781e-02,1.398086e+22,4.180487,2077
1.994014e+12,2.038000e+12,2.205903e-02,1.934771e+21,4.180487,2077
1.994014e+12,1.947223e+12,2.346592e-02,2.189433e+21,4.180487,2077
function,AVG(rel-err),AVG(l2-loss)
4-cycles,5.165288e-02,1.813503e+22
