#4cyc(true),#4cyc(est),#4cyc(rel-err),#4cyc(l2-loss),EpsL,max_deg
1.994014e+12,1.947917e+12,2.311772e-02,2.124939e+21,3.899387,2077
1.994014e+12,2.153651e+12,8.005778e-02,2.548377e+22,3.899387,2077
1.994014e+12,2.206617e+12,1.066205e-01,4.519992e+22,3.899387,2077
1.994014e+12,2.273159e+12,1.399912e-01,7.792168e+22,3.899387,2077
1.994014e+12,2.008767e+12,7.398687e-03,2.176536e+20,3.899387,2077
1.994014e+12,2.039604e+12,2.286328e-02,2.078421e+21,3.899387,2077
1.994014e+12,1.993274e+12,3.711218e-04,5.476329e+17,3.899387,2077
1.994014e+12,1.964919e+12,1.459114e-02,8.465160e+20,3.899387,2077
1.994014e+12,1.782378e+12,1.061358e-01,4.478995e+22,3.899387,2077
1.994014e+12,1.993335e+12,3.406696e-04,4.614485e+17,3.899387,2077
1.994014e+12,1.817234e+12,8.865558e-02,3.125135e+22,3.899387,2077
1.994014e+12,1.961512e+12,1.629985e-02,1.056389e+21,3.899387,2077
1.994014e+12,1.897739e+12,4.828218e-02,9.268944e+21,3.899387,2077
1.994014e+12,1.926351e+12,3.393336e-02,4.578364e+21,3.899387,2077
1.994014e+12,2.077917e+12,4.207740e-02,7.039704e+21,3.899387,2077
1.994014e+12,2.152364e+12,7.941264e-02,2.507470e+22,3.899387,2077
1.994014e+12,2.015408e+12,1.072913e-02,4.577049e+20,3.899387,2077
1.994014e+12,1.875574e+12,5.939790e-02,1.402810e+22,3.899387,2077
1.994014e+12,2.050931e+12,2.854394e-02,3.239547e+21,3.899387,2077
1.994014e+12,1.944857e+12,2.465259e-02,2.416472e+21,3.899387,2077
function,AVG(rel-err),AVG(l2-loss)
4-cycles,4.667362e-02,1.485376e+22
