#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
3.668300e+04,5.820738e+06,1.576767e+02,3.345529e+13,4.970520e+05,5.556616e+05,1.179144e-01,3.435087e+09,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,-1.171914e+07,3.204705e+02,1.381993e+14,4.970520e+05,5.038869e+05,1.375090e-02,4.671606e+07,2.214034e-01,0.000000e+00,1.000000e+00,4.901946e-02,4.180487,161
3.668300e+04,-2.082874e+06,5.778036e+01,4.492521e+12,4.970520e+05,5.230422e+05,5.228867e-02,6.754898e+08,2.214034e-01,0.000000e+00,1.000000e+00,4.901946e-02,4.180487,161
3.668300e+04,3.695475e+06,9.974081e+01,1.338676e+13,4.970520e+05,4.700481e+05,5.432809e-02,7.292097e+08,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,3.682163e+06,9.937790e+01,1.328952e+13,4.970520e+05,5.184679e+05,4.308585e-02,4.586410e+08,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,-2.181725e+06,6.047510e+01,4.921334e+12,4.970520e+05,4.919807e+05,1.020283e-02,2.571848e+07,2.214034e-01,0.000000e+00,1.000000e+00,4.901946e-02,4.180487,161
3.668300e+04,2.054987e+07,5.592015e+02,4.207909e+14,4.970520e+05,4.144255e+05,1.662331e-01,6.827141e+09,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,-5.333070e+06,1.463826e+02,2.883425e+13,4.970520e+05,5.006200e+05,7.178304e-03,1.273055e+07,2.214034e-01,0.000000e+00,1.000000e+00,4.901946e-02,4.180487,161
3.668300e+04,1.026026e+07,2.787008e+02,1.045216e+14,4.970520e+05,4.912623e+05,1.164810e-02,3.352078e+07,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,1.053095e+07,2.860799e+02,1.101297e+14,4.970520e+05,5.355625e+05,7.747788e-02,1.483061e+09,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,-1.256395e+07,3.435005e+02,1.587759e+14,4.970520e+05,5.438234e+05,9.409759e-02,2.187563e+09,2.214034e-01,0.000000e+00,1.000000e+00,4.901946e-02,4.180487,161
3.668300e+04,-4.407517e+06,1.211515e+02,1.975091e+13,4.970520e+05,5.360387e+05,7.843579e-02,1.519960e+09,2.214034e-01,0.000000e+00,1.000000e+00,4.901946e-02,4.180487,161
3.668300e+04,9.225699e+06,2.504979e+02,8.443802e+13,4.970520e+05,5.337503e+05,7.383195e-02,1.346766e+09,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,6.020701e+06,1.631278e+02,3.580847e+13,4.970520e+05,5.139693e+05,3.403522e-02,2.861941e+08,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,7.164829e+06,1.943174e+02,5.081047e+13,4.970520e+05,5.170870e+05,4.030771e-02,4.014024e+08,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,2.768262e+06,7.446444e+01,7.461525e+12,4.970520e+05,4.843520e+05,2.555071e-02,1.612908e+08,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,-1.252009e+07,3.423050e+02,1.576726e+14,4.970520e+05,4.425998e+05,1.095502e-01,2.965038e+09,2.214034e-01,0.000000e+00,1.000000e+00,4.901946e-02,4.180487,161
3.668300e+04,5.213358e+06,1.411192e+02,2.679796e+13,4.970520e+05,5.414113e+05,8.924481e-02,1.967749e+09,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
3.668300e+04,-3.953452e+06,1.087734e+02,1.592118e+13,4.970520e+05,4.875129e+05,1.919140e-02,9.099487e+07,2.214034e-01,0.000000e+00,1.000000e+00,4.901946e-02,4.180487,161
3.668300e+04,1.489343e+06,3.960036e+01,2.110221e+12,4.970520e+05,4.984703e+05,2.853354e-03,2.011477e+06,2.214034e-01,1.000000e+00,3.516643e+00,6.062127e-01,4.180487,161
function,AVG(rel-err),AVG(l2-loss)
Triangles,1.922372e+02,7.157842e+13
2-stars,5.606035e-02,1.232814e+09
Clst,2.509986e+00,3.833354e-01
