#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
1.331374e+09,1.350903e+09,1.466843e-02,3.813883e+14,4.003848e+09,4.003978e+09,3.248467e-05,1.691656e+10,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.259881e+09,5.369840e-02,5.111199e+15,4.003848e+09,4.003779e+09,1.726264e-05,4.777159e+09,9.975708e-01,9.440191e-01,5.368206e-02,2.867780e-03,4.180487,2129
1.331374e+09,1.376725e+09,3.406315e-02,2.056694e+15,4.003848e+09,4.003819e+09,7.375951e-06,8.721501e+08,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.227918e+09,7.770656e-02,1.070325e+16,4.003848e+09,4.003786e+09,1.567117e-05,3.936932e+09,9.975708e-01,9.200674e-01,7.769211e-02,6.006774e-03,4.180487,2129
1.331374e+09,1.352606e+09,1.594736e-02,4.507937e+14,4.003848e+09,4.003700e+09,3.695481e-05,2.189259e+10,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.515081e+09,1.379827e-01,3.374811e+16,4.003848e+09,4.003870e+09,5.393265e-06,4.662928e+08,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.037022e+09,2.210889e-01,8.664312e+16,4.003848e+09,4.003589e+09,6.476237e-05,6.723581e+10,9.975708e-01,7.770692e-01,2.210385e-01,4.862092e-02,4.180487,2129
1.331374e+09,1.247959e+09,6.265362e-02,6.958129e+15,4.003848e+09,4.003915e+09,1.674585e-05,4.495413e+09,9.975708e-01,9.350537e-01,6.266932e-02,3.908385e-03,4.180487,2129
1.331374e+09,1.507008e+09,1.319195e-01,3.084736e+16,4.003848e+09,4.004096e+09,6.174468e-05,6.111591e+10,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.409524e+09,5.869857e-02,6.107383e+15,4.003848e+09,4.003770e+09,1.962320e-05,6.172983e+09,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.425426e+09,7.064272e-02,8.845756e+15,4.003848e+09,4.004019e+09,4.270909e-05,2.924125e+10,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.238711e+09,6.959926e-02,8.586367e+15,4.003848e+09,4.003956e+09,2.685259e-05,1.155920e+10,9.975708e-01,9.281157e-01,6.962425e-02,4.824013e-03,4.180487,2129
1.331374e+09,1.484456e+09,1.149806e-01,2.343415e+16,4.003848e+09,4.003882e+09,8.512106e-06,1.161527e+09,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.271508e+09,4.496581e-02,3.583975e+15,4.003848e+09,4.003894e+09,1.132024e-05,2.054312e+09,9.975708e-01,9.527034e-01,4.497662e-02,2.013080e-03,4.180487,2129
1.331374e+09,1.549077e+09,1.635174e-01,4.739454e+16,4.003848e+09,4.003757e+09,2.286876e-05,8.383794e+09,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.484697e+09,1.151616e-01,2.350800e+16,4.003848e+09,4.003768e+09,2.005294e-05,6.446315e+09,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.468030e+09,1.026431e-01,1.867498e+16,4.003848e+09,4.003823e+09,6.211212e-06,6.184547e+08,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.464973e+09,1.003468e-01,1.784871e+16,4.003848e+09,4.003635e+09,5.318996e-05,4.535390e+10,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.408274e+09,5.776017e-02,5.913671e+15,4.003848e+09,4.003489e+09,8.972007e-05,1.290430e+11,9.975708e-01,1.000000e+00,2.435152e-03,5.901192e-06,4.180487,2129
1.331374e+09,1.176837e+09,1.160732e-01,2.388163e+16,4.003848e+09,4.004078e+09,5.747743e-05,5.296024e+10,9.975708e-01,8.817289e-01,1.161240e-01,1.341935e-02,4.180487,2129
function,AVG(rel-err),AVG(l2-loss)
Triangles,8.820589e-02,1.823396e+16
2-stars,3.084665e-05,2.373519e+10
Clst,3.387319e-02,4.086851e-03
