run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
0,none,0.5000000000,0.0500000000,0.4323153122,0.0176846878,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,879102,32950647,32950647,33518005.2047426216,0.0172184238,0.0172184238,0,0,0,0.0000000000,14.2379107330
1,none,0.5000000000,0.0500000000,0.4320397781,0.0179602219,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,879102,32950647,32950647,23630887.5104098655,0.2828399542,0.2828399542,0,0,0,0.0000000000,11.7878178930
2,none,0.5000000000,0.0500000000,0.4321285593,0.0178714407,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,879102,32950647,32950647,36658983.6972719207,0.1125421512,0.1125421512,0,0,0,0.0000000000,11.7220053910
3,none,0.5000000000,0.0500000000,0.4320824081,0.0179175919,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,879102,32950647,32950647,27226600.4635972343,0.1737157555,0.1737157555,0,0,0,0.0000000000,14.6102262400
4,none,0.5000000000,0.0500000000,0.4322159799,0.0177840201,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,879102,32950647,32950647,35461523.3145526722,0.0762011233,0.0762011233,0,0,0,0.0000000000,14.1188430300
0,orig_inc,0.5000000000,0.0500000000,0.4317725688,0.0182274312,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,922900,32950647,37822232,38374902.7214577571,0.1646175786,0.0146123243,43798,0,0,0.0000000000,14.0450587290
1,orig_inc,0.5000000000,0.0500000000,0.4317311945,0.0182688055,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,923071,32950647,37776357,33445046.1321566664,0.0150042314,0.1146566586,43969,0,0,0.0000000000,13.6810888240
2,orig_inc,0.5000000000,0.0500000000,0.4316145253,0.0183854747,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,923168,32950647,37744862,36389702.3633254841,0.1043698888,0.0359031552,44066,0,0,0.0000000000,14.5553823380
3,orig_inc,0.5000000000,0.0500000000,0.4318938705,0.0181061295,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,922990,32950647,37741785,33762424.7628578469,0.0246361707,0.1054364609,43888,0,0,0.0000000000,12.7192329080
4,orig_inc,0.5000000000,0.0500000000,0.4317108943,0.0182891057,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,923082,32950647,37758584,35322862.0125119388,0.0719929722,0.0645077683,43980,0,0,0.0000000000,12.7619216090
