run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
0,none,0.5000000000,0.0500000000,0.3712254748,0.0787745252,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,62282.1040878723,6.9951353129,6.9951353129,0,0,0,0.0000000000,3.5993704590
1,none,0.5000000000,0.0500000000,0.3658954251,0.0841045749,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-662858.4177622127,86.0909393790,86.0909393790,0,0,0,0.0000000000,3.7208119610
2,none,0.5000000000,0.0500000000,0.3689305929,0.0810694071,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,448797.3263950231,56.6119802818,56.6119802818,0,0,0,0.0000000000,3.9628634640
3,none,0.5000000000,0.0500000000,0.3653997617,0.0846002383,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-685280.9760133001,88.9693165614,88.9693165614,0,0,0,0.0000000000,3.6599101600
4,none,0.5000000000,0.0500000000,0.3627069933,0.0872930067,150.0000000000,0.0000000000,0,0.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-49091.5260686119,7.3018647071,7.3018647071,0,0,0,0.0000000000,3.6861642600
0,orig_inc,0.5000000000,0.0500000000,0.3945874008,0.0554125992,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,52407,7790,4462935,4377997.2809268283,561.0022183475,0.0190318073,44838,0,0,0.0000000000,5.5527674910
1,orig_inc,0.5000000000,0.0500000000,0.3913034654,0.0586965346,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,52414,7790,4462920,3902305.8827731595,499.9378540145,0.1256159907,44845,0,0,0.0000000000,5.6191694910
2,orig_inc,0.5000000000,0.0500000000,0.3989964176,0.0510035824,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,52411,7790,4462934,3213060.8674431327,411.4596748964,0.2800563783,44842,0,0,0.0000000000,5.7219334940
3,orig_inc,0.5000000000,0.0500000000,0.3921649095,0.0578350905,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,52413,7790,4462942,3780667.5791072841,484.3231808867,0.1528754846,44844,0,0,0.0000000000,5.4806299900
4,orig_inc,0.5000000000,0.0500000000,0.3945210958,0.0554789042,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,52412,7790,4462930,4210691.9681055648,539.5252847376,0.0565184827,44843,0,0,0.0000000000,5.7398999940
0,orig_inc,0.5000000000,0.0500000000,0.4028168172,0.0471831828,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,132296,7790,20716425,21715507.7796464749,2786.6133221626,0.0482266018,124727,0,0,0.0000000000,5.7410504940
1,orig_inc,0.5000000000,0.0500000000,0.4028447815,0.0471552185,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,132299,7790,20716370,18807375.2242777720,2413.2972046570,0.0921490964,124730,0,0,0.0000000000,5.7803759950
2,orig_inc,0.5000000000,0.0500000000,0.4047756306,0.0452243694,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,132297,7790,20716412,20203909.9168768637,2592.5699508186,0.0247389405,124728,0,0,0.0000000000,5.8130365950
3,orig_inc,0.5000000000,0.0500000000,0.4029415411,0.0470584589,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,132303,7790,20716398,19961457.0506606735,2561.4463479667,0.0364417091,124734,0,0,0.0000000000,6.0920200000
4,orig_inc,0.5000000000,0.0500000000,0.4078355144,0.0421644856,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,132285,7790,20716412,18645821.5133055709,2392.5586024783,0.0999492811,124716,0,0,0.0000000000,5.8679112950
0,orig_inc,0.5000000000,0.0500000000,0.4065131039,0.0434868961,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,327109,7790,85021719,84008812.9438686818,10783.1865139754,0.0119134977,319540,0,0,0.0000000000,10.1590496660
1,orig_inc,0.5000000000,0.0500000000,0.4059481528,0.0440518472,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,327117,7790,85021595,83815281.7769303918,10758.3429752157,0.0141883156,319548,0,0,0.0000000000,10.3978974700
2,orig_inc,0.5000000000,0.0500000000,0.4059480558,0.0440519442,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,327120,7790,85021653,81576963.7004120499,10471.0107445972,0.0405154355,319551,0,0,0.0000000000,10.9159844790
3,orig_inc,0.5000000000,0.0500000000,0.4062393152,0.0437606848,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,327123,7790,85021626,85066538.7336031944,10918.9664613098,0.0005282507,319554,0,0,0.0000000000,11.1022894820
4,orig_inc,0.5000000000,0.0500000000,0.4058274453,0.0441725547,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,327099,7790,85021659,84390560.5778308362,10832.1913450361,0.0074227959,319530,0,0,0.0000000000,10.1436163660
0,orig_inc,0.5000000000,0.0500000000,0.4066239224,0.0433760776,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,506974,7790,166175274,166197564.1872911751,21333.7322448384,0.0001341366,499405,0,0,0.0000000000,16.1894976650
1,orig_inc,0.5000000000,0.0500000000,0.4086533885,0.0413466115,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,506998,7790,166175117,166903808.9540139735,21424.3926770236,0.0043850846,499429,0,0,0.0000000000,15.6142509550
2,orig_inc,0.5000000000,0.0500000000,0.4071984456,0.0428015544,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,506989,7790,166175250,166860856.4676164687,21418.8788790265,0.0041258037,499420,0,0,0.0000000000,15.8041028590
3,orig_inc,0.5000000000,0.0500000000,0.4069572788,0.0430427212,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,507004,7790,166175135,167108926.2768242061,21450.7235271918,0.0056193201,499435,0,0,0.0000000000,16.3908181680
4,orig_inc,0.5000000000,0.0500000000,0.4071781789,0.0428218211,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,506969,7790,166175180,166188172.9128057063,21332.5266897055,0.0000781880,499400,0,0,0.0000000000,18.1884143970
0,orig_inc,0.5000000000,0.0500000000,0.4066791382,0.0433208618,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,851763,7790,365330666,367599144.8637821078,47187.5936923982,0.0062093853,844194,0,0,0.0000000000,21.6760431550
1,orig_inc,0.5000000000,0.0500000000,0.4061405306,0.0438594694,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,851812,7790,365330372,364942422.4827221036,46846.5510247397,0.0010619142,844243,0,0,0.0000000000,20.9990289440
2,orig_inc,0.5000000000,0.0500000000,0.4065527053,0.0434472947,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,851779,7790,365330593,367198810.8834579587,47136.2029375427,0.0051137734,844210,0,0,0.0000000000,21.3977887500
3,orig_inc,0.5000000000,0.0500000000,0.4059048585,0.0440951415,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,851821,7790,365330417,369619443.7118742466,47446.9388590339,0.0117401303,844252,0,0,0.0000000000,21.2903665480
4,orig_inc,0.5000000000,0.0500000000,0.4087007605,0.0412992395,150.0000000000,0.1300000000,1300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,851757,7790,365330536,364165565.0675403476,46746.8260677202,0.0031888135,844188,0,0,0.0000000000,21.2476976470
0,orig_inc,0.5000000000,0.0500000000,0.4064112105,0.0435887895,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1131616,7790,561384280,558573482.9123198986,71702.9130824544,0.0050069038,1124047,0,0,0.0000000000,24.9701053090
1,orig_inc,0.5000000000,0.0500000000,0.4061352650,0.0438647350,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1131670,7790,561383983,558776611.8950043917,71728.9886899877,0.0046445413,1124101,0,0,0.0000000000,25.6319985200
2,orig_inc,0.5000000000,0.0500000000,0.4060011598,0.0439988402,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1131636,7790,561384168,560452666.9134118557,71944.1433778449,0.0016592935,1124067,0,0,0.0000000000,25.1373574110
3,orig_inc,0.5000000000,0.0500000000,0.4059765530,0.0440234470,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1131670,7790,561384011,559501070.2253240347,71821.9871919543,0.0033541047,1124101,0,0,0.0000000000,25.6292976190
4,orig_inc,0.5000000000,0.0500000000,0.4072340873,0.0427659127,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1131598,7790,561384143,563818085.8468250036,72376.1612126861,0.0043356103,1124029,0,0,0.0000000000,25.0072217090
0,orig_inc,0.5000000000,0.0500000000,0.4055510761,0.0444489239,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1626395,7790,970389702,970971623.4638433456,124642.3406243701,0.0005996781,1618826,0,0,0.0000000000,37.5239069140
1,orig_inc,0.5000000000,0.0500000000,0.4063080261,0.0436919739,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1626434,7790,970389370,964591192.1137553453,123823.2865357837,0.0059751045,1618865,0,0,0.0000000000,38.0431465220
2,orig_inc,0.5000000000,0.0500000000,0.4054822867,0.0445177133,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1626425,7790,970389534,968072745.4238144159,124270.2125062663,0.0023874831,1618856,0,0,0.0000000000,38.5043663300
3,orig_inc,0.5000000000,0.0500000000,0.4067173396,0.0432826604,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1626451,7790,970389423,972364906.4339427948,124821.1959478746,0.0020357636,1618882,0,0,0.0000000000,38.2163925250
4,orig_inc,0.5000000000,0.0500000000,0.4061558091,0.0438441909,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,1626362,7790,970389535,970150369.2987133265,124536.9164696680,0.0002464636,1618793,0,0,0.0000000000,38.7035548330
0,orig_inc,0.5000000000,0.0500000000,0.4057750880,0.0442249120,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,2006229,7790,1331343297,1335788760.7241165638,171473.8088220946,0.0033390815,1998660,0,0,0.0000000000,49.3429906070
1,orig_inc,0.5000000000,0.0500000000,0.4056837278,0.0443162722,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,2006277,7790,1331343012,1326167420.9155600071,170238.7202715738,0.0038874963,1998708,0,0,0.0000000000,50.3660422240
2,orig_inc,0.5000000000,0.0500000000,0.4055172912,0.0444827088,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,2006274,7790,1331343167,1330590893.7829844952,170806.5601775333,0.0005650483,1998705,0,0,0.0000000000,51.9049982490
3,orig_inc,0.5000000000,0.0500000000,0.4057897455,0.0442102545,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,2006278,7790,1331342984,1328321368.1391687393,170515.2218407149,0.0022695999,1998709,0,0,0.0000000000,51.0134763350
4,orig_inc,0.5000000000,0.0500000000,0.4068507058,0.0431492942,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,2006202,7790,1331343080,1326037385.3072984219,170222.0276389343,0.0039852197,1998633,0,0,0.0000000000,51.2693719390
0,orig_dec,0.5000000000,0.0500000000,0.3585445395,0.0914554605,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7557,7790,7757,13925.5385685388,0.7876172745,0.7952221952,12,0,0,0.0000000000,3.6758163600
1,orig_dec,0.5000000000,0.0500000000,0.3585834894,0.0914165106,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7564,7790,7766,-226176.4371957835,30.0342024642,30.1239295900,5,0,0,0.0000000000,3.6345851590
2,orig_dec,0.5000000000,0.0500000000,0.3650800429,0.0849199571,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7561,7790,7771,-639035.2405474347,83.0327651537,83.2333342617,8,0,0,0.0000000000,3.7029016610
3,orig_dec,0.5000000000,0.0500000000,0.3684798386,0.0815201614,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7563,7790,7772,-356318.4781467193,46.7404978365,46.8464331120,6,0,0,0.0000000000,3.4707404570
4,orig_dec,0.5000000000,0.0500000000,0.3695317819,0.0804682181,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7562,7790,7770,-56162.7342707549,8.2095936163,8.2281511288,7,0,0,0.0000000000,3.5431647580
0,orig_dec,0.5000000000,0.0500000000,0.3697337743,0.0802662257,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7546,7790,7720,499284.7843350289,63.0930403511,63.6741948621,23,0,0,0.0000000000,3.5415898580
1,orig_dec,0.5000000000,0.0500000000,0.3707775323,0.0792224677,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7549,7790,7741,-442577.3413000291,57.8135226316,58.1731483400,20,0,0,0.0000000000,3.6410325600
2,orig_dec,0.5000000000,0.0500000000,0.3612301869,0.0887698131,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7547,7790,7749,-399532.0777059411,52.2878148531,52.5591789529,22,0,0,0.0000000000,3.6492847590
3,orig_dec,0.5000000000,0.0500000000,0.3764465561,0.0735534439,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7553,7790,7723,-167992.7279773786,22.5651768905,22.7522631073,16,0,0,0.0000000000,3.6189947600
4,orig_dec,0.5000000000,0.0500000000,0.3742128033,0.0757871967,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7535,7790,7676,-910704.7593780464,117.9069010755,119.6431421806,34,0,0,0.0000000000,3.6583421590
0,orig_dec,0.5000000000,0.0500000000,0.3625455352,0.0874544648,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7509,7790,7567,-203701.4580100946,27.1490960218,27.9197116440,60,0,0,0.0000000000,3.6224756590
